# BON2020_LIS spectra tabulated for shieldSim
# Source model: Badhwar-O'Neill 2020 LIS parameters (Z=1 and Z=2)
# Energy column: total kinetic energy [MeV]
# Flux columns: differential flux [particles / (m^2 sr s MeV)]
# NOTE:
#   proton flux is tabulated directly versus total kinetic energy (same as MeV/n for A=1)
#   alpha flux is converted from BON2020's MeV/n representation to total kinetic energy:
#       E_total = 4*T_n,  flux_per_MeV(total) = flux_per_MeV_per_nucleon / 4
# Columns:
#   E_MeV_total   proton_flux   alpha_flux
1.00000000e+01 0.00000000e+00 1.49865268e-11
1.01862899e+01 0.00000000e+00 1.47061075e-11
1.03760502e+01 0.00000000e+00 1.44309186e-11
1.05693455e+01 0.00000000e+00 1.41608626e-11
1.07662418e+01 0.00000000e+00 1.38958438e-11
1.09668060e+01 0.00000000e+00 1.36357681e-11
1.11711065e+01 0.00000000e+00 1.33805435e-11
1.13792129e+01 0.00000000e+00 1.31300794e-11
1.15911962e+01 0.00000000e+00 1.28842871e-11
1.18071285e+01 0.00000000e+00 1.26430794e-11
1.20270833e+01 0.00000000e+00 1.24063708e-11
1.22511358e+01 0.00000000e+00 1.21740774e-11
1.24793621e+01 0.00000000e+00 1.19461169e-11
1.27118400e+01 0.00000000e+00 1.17224084e-11
1.29486487e+01 0.00000000e+00 1.15028727e-11
1.31898690e+01 0.00000000e+00 1.12874319e-11
1.34355829e+01 0.00000000e+00 1.10760097e-11
1.36858742e+01 0.00000000e+00 1.08685311e-11
1.39408283e+01 0.00000000e+00 1.06649225e-11
1.42005318e+01 0.00000000e+00 1.04651119e-11
1.44650734e+01 0.00000000e+00 1.02690283e-11
1.47345431e+01 0.00000000e+00 1.00766022e-11
1.50090328e+01 0.00000000e+00 9.88776552e-12
1.52886359e+01 0.00000000e+00 9.70245119e-12
1.55734477e+01 0.00000000e+00 9.52059357e-12
1.58635653e+01 0.00000000e+00 9.34212818e-12
1.61590875e+01 0.00000000e+00 9.16699175e-12
1.64601150e+01 0.00000000e+00 8.99512221e-12
1.67667503e+01 0.00000000e+00 8.82645863e-12
1.70790980e+01 0.00000000e+00 8.66094121e-12
1.73972643e+01 0.00000000e+00 8.49851128e-12
1.77213578e+01 0.00000000e+00 8.33911126e-12
1.80514888e+01 0.00000000e+00 8.18268464e-12
1.83877698e+01 0.00000000e+00 8.02917597e-12
1.87303154e+01 0.00000000e+00 7.87853082e-12
1.90792422e+01 0.00000000e+00 7.73069581e-12
1.94346693e+01 0.00000000e+00 7.58561851e-12
1.97967175e+01 0.00000000e+00 7.44324750e-12
2.01655104e+01 0.00000000e+00 7.30353231e-12
2.05411735e+01 0.00000000e+00 7.16642340e-12
2.09238348e+01 0.00000000e+00 7.03187218e-12
2.13136247e+01 0.00000000e+00 6.89983094e-12
2.17106760e+01 0.00000000e+00 6.77025287e-12
2.21151240e+01 0.00000000e+00 6.64309203e-12
2.25271064e+01 0.00000000e+00 6.51830335e-12
2.29467637e+01 0.00000000e+00 6.39584259e-12
2.33742387e+01 0.00000000e+00 6.27566633e-12
2.38096772e+01 0.00000000e+00 6.15773198e-12
2.42532274e+01 0.00000000e+00 6.04199771e-12
2.47050406e+01 0.00000000e+00 5.92842250e-12
2.51652705e+01 0.00000000e+00 5.81696609e-12
2.56340741e+01 0.00000000e+00 5.70758897e-12
2.61116110e+01 0.00000000e+00 5.60025235e-12
2.65980440e+01 0.00000000e+00 5.49491819e-12
2.70935387e+01 0.00000000e+00 5.39154913e-12
2.75982639e+01 0.00000000e+00 5.29010854e-12
2.81123917e+01 0.00000000e+00 5.19056046e-12
2.86360972e+01 0.00000000e+00 5.09286958e-12
2.91695588e+01 0.00000000e+00 4.99700128e-12
2.97129582e+01 0.00000000e+00 4.90292157e-12
3.02664806e+01 0.00000000e+00 4.81059709e-12
3.08303146e+01 0.00000000e+00 4.71999511e-12
3.14046522e+01 0.00000000e+00 4.63108351e-12
3.19896892e+01 0.00000000e+00 4.54383077e-12
3.25856248e+01 0.00000000e+00 4.45820596e-12
3.31926620e+01 0.00000000e+00 4.37417872e-12
3.38110078e+01 0.00000000e+00 4.29171925e-12
3.44408728e+01 0.00000000e+00 4.21079832e-12
3.50824714e+01 0.00000000e+00 4.13138725e-12
3.57360225e+01 0.00000000e+00 4.05345787e-12
3.64017485e+01 0.00000000e+00 3.97698256e-12
3.70798763e+01 0.00000000e+00 3.90193421e-12
3.77706369e+01 0.00000000e+00 3.82828620e-12
3.84742658e+01 0.00000000e+00 3.75601242e-12
3.91910025e+01 0.00000000e+00 3.68508726e-12
3.99210913e+01 0.00000000e+00 3.61548555e-12
4.06647809e+01 0.00000000e+00 3.54718264e-12
4.14223247e+01 0.00000000e+00 3.48015429e-12
4.21939808e+01 0.00000000e+00 3.41437674e-12
4.29800121e+01 0.00000000e+00 3.34982667e-12
4.37806863e+01 0.00000000e+00 3.28648120e-12
4.45962763e+01 0.00000000e+00 3.22431786e-12
4.54270599e+01 0.00000000e+00 3.16331461e-12
4.62733201e+01 0.00000000e+00 3.10344982e-12
4.71353453e+01 0.00000000e+00 3.04470227e-12
4.80134292e+01 0.00000000e+00 2.98705112e-12
4.89078709e+01 0.00000000e+00 2.93047594e-12
4.98189752e+01 0.00000000e+00 2.87495666e-12
5.07470524e+01 0.00000000e+00 2.82047359e-12
5.16924187e+01 0.00000000e+00 2.76700743e-12
5.26553963e+01 0.00000000e+00 2.71453920e-12
5.36363132e+01 0.00000000e+00 2.66305031e-12
5.46355035e+01 0.00000000e+00 2.61252249e-12
5.56533078e+01 0.00000000e+00 2.56293784e-12
5.66900727e+01 0.00000000e+00 2.51427876e-12
5.77461515e+01 0.00000000e+00 2.46652801e-12
5.88219040e+01 0.00000000e+00 2.41966864e-12
