# BON2020_LIS spectra tabulated for shieldSim
# Source model: Badhwar-O'Neill 2020 LIS parameters (Z=1 and Z=2)
# Energy column: total kinetic energy [MeV]
# Flux columns: differential flux [particles / (m^2 sr s MeV)]
# NOTE:
#   proton flux is tabulated directly versus total kinetic energy (same as MeV/n for A=1)
#   alpha flux is converted from BON2020's MeV/n representation to total kinetic energy:
#       E_total = 4*T_n,  flux_per_MeV(total) = flux_per_MeV_per_nucleon / 4
# Columns:
#   E_MeV_total   proton_flux   alpha_flux
1.00000000e+01 6.91190327e-14 0.00000000e+00
1.01862899e+01 7.04238690e-14 0.00000000e+00
1.03760502e+01 7.17521979e-14 0.00000000e+00
1.05693455e+01 7.31043988e-14 0.00000000e+00
1.07662418e+01 7.44808555e-14 0.00000000e+00
1.09668060e+01 7.58819562e-14 0.00000000e+00
1.11711065e+01 7.73080935e-14 0.00000000e+00
1.13792129e+01 7.87596642e-14 0.00000000e+00
1.15911962e+01 8.02370698e-14 0.00000000e+00
1.18071285e+01 8.17407156e-14 0.00000000e+00
1.20270833e+01 8.32710116e-14 0.00000000e+00
1.22511358e+01 8.48283717e-14 0.00000000e+00
1.24793621e+01 8.64132141e-14 0.00000000e+00
1.27118400e+01 8.80259611e-14 0.00000000e+00
1.29486487e+01 8.96670389e-14 0.00000000e+00
1.31898690e+01 9.13368778e-14 0.00000000e+00
1.34355829e+01 9.30359120e-14 0.00000000e+00
1.36858742e+01 9.47645795e-14 0.00000000e+00
1.39408283e+01 9.65233220e-14 0.00000000e+00
1.42005318e+01 9.83125848e-14 0.00000000e+00
1.44650734e+01 1.00132817e-13 0.00000000e+00
1.47345431e+01 1.01984471e-13 0.00000000e+00
1.50090328e+01 1.03868002e-13 0.00000000e+00
1.52886359e+01 1.05783869e-13 0.00000000e+00
1.55734477e+01 1.07732534e-13 0.00000000e+00
1.58635653e+01 1.09714463e-13 0.00000000e+00
1.61590875e+01 1.11730122e-13 0.00000000e+00
1.64601150e+01 1.13779983e-13 0.00000000e+00
1.67667503e+01 1.15864517e-13 0.00000000e+00
1.70790980e+01 1.17984200e-13 0.00000000e+00
1.73972643e+01 1.20139510e-13 0.00000000e+00
1.77213578e+01 1.22330926e-13 0.00000000e+00
1.80514888e+01 1.24558928e-13 0.00000000e+00
1.83877698e+01 1.26823998e-13 0.00000000e+00
1.87303154e+01 1.29126622e-13 0.00000000e+00
1.90792422e+01 1.31467283e-13 0.00000000e+00
1.94346693e+01 1.33846467e-13 0.00000000e+00
1.97967175e+01 1.36264661e-13 0.00000000e+00
2.01655104e+01 1.38722350e-13 0.00000000e+00
2.05411735e+01 1.41220021e-13 0.00000000e+00
2.09238348e+01 1.43758161e-13 0.00000000e+00
2.13136247e+01 1.46337255e-13 0.00000000e+00
2.17106760e+01 1.48957787e-13 0.00000000e+00
2.21151240e+01 1.51620241e-13 0.00000000e+00
2.25271064e+01 1.54325098e-13 0.00000000e+00
2.29467637e+01 1.57072838e-13 0.00000000e+00
2.33742387e+01 1.59863939e-13 0.00000000e+00
2.38096772e+01 1.62698875e-13 0.00000000e+00
2.42532274e+01 1.65578117e-13 0.00000000e+00
2.47050406e+01 1.68502133e-13 0.00000000e+00
2.51652705e+01 1.71471387e-13 0.00000000e+00
2.56340741e+01 1.74486337e-13 0.00000000e+00
2.61116110e+01 1.77547437e-13 0.00000000e+00
2.65980440e+01 1.80655136e-13 0.00000000e+00
2.70935387e+01 1.83809877e-13 0.00000000e+00
2.75982639e+01 1.87012094e-13 0.00000000e+00
2.81123917e+01 1.90262217e-13 0.00000000e+00
2.86360972e+01 1.93560667e-13 0.00000000e+00
2.91695588e+01 1.96907855e-13 0.00000000e+00
2.97129582e+01 2.00304186e-13 0.00000000e+00
3.02664806e+01 2.03750053e-13 0.00000000e+00
3.08303146e+01 2.07245840e-13 0.00000000e+00
3.14046522e+01 2.10791919e-13 0.00000000e+00
3.19896892e+01 2.14388652e-13 0.00000000e+00
3.25856248e+01 2.18036387e-13 0.00000000e+00
3.31926620e+01 2.21735459e-13 0.00000000e+00
3.38110078e+01 2.25486191e-13 0.00000000e+00
3.44408728e+01 2.29288888e-13 0.00000000e+00
3.50824714e+01 2.33143843e-13 0.00000000e+00
3.57360225e+01 2.37051330e-13 0.00000000e+00
3.64017485e+01 2.41011608e-13 0.00000000e+00
3.70798763e+01 2.45024915e-13 0.00000000e+00
3.77706369e+01 2.49091473e-13 0.00000000e+00
3.84742658e+01 2.53211482e-13 0.00000000e+00
3.91910025e+01 2.57385121e-13 0.00000000e+00
3.99210913e+01 2.61612550e-13 0.00000000e+00
4.06647809e+01 2.65893904e-13 0.00000000e+00
4.14223247e+01 2.70229292e-13 0.00000000e+00
4.21939808e+01 2.74618802e-13 0.00000000e+00
4.29800121e+01 2.79062495e-13 0.00000000e+00
4.37806863e+01 2.83560402e-13 0.00000000e+00
4.45962763e+01 2.88112530e-13 0.00000000e+00
4.54270599e+01 2.92718854e-13 0.00000000e+00
4.62733201e+01 2.97379319e-13 0.00000000e+00
4.71353453e+01 3.02093839e-13 0.00000000e+00
4.80134292e+01 3.06862295e-13 0.00000000e+00
4.89078709e+01 3.11684532e-13 0.00000000e+00
4.98189752e+01 3.16560363e-13 0.00000000e+00
5.07470524e+01 3.21489563e-13 0.00000000e+00
5.16924187e+01 3.26471868e-13 0.00000000e+00
5.26553963e+01 3.31506976e-13 0.00000000e+00
5.36363132e+01 3.36594546e-13 0.00000000e+00
5.46355035e+01 3.41734193e-13 0.00000000e+00
5.56533078e+01 3.46925489e-13 0.00000000e+00
5.66900727e+01 3.52167964e-13 0.00000000e+00
5.77461515e+01 3.57461101e-13 0.00000000e+00
5.88219040e+01 3.62804334e-13 0.00000000e+00
5.99176967e+01 3.68197053e-13 0.00000000e+00
6.10339029e+01 3.73638594e-13 0.00000000e+00
6.21709029e+01 3.79128245e-13 0.00000000e+00
6.33290840e+01 3.84665240e-13 0.00000000e+00
6.45088409e+01 3.90248759e-13 0.00000000e+00
6.57105755e+01 3.95877928e-13 0.00000000e+00
6.69346971e+01 4.01551815e-13 0.00000000e+00
6.81816229e+01 4.07269431e-13 0.00000000e+00
6.94517777e+01 4.13029728e-13 0.00000000e+00
7.07455942e+01 4.18831598e-13 0.00000000e+00
7.20635132e+01 4.24673870e-13 0.00000000e+00
7.34059837e+01 4.30555311e-13 0.00000000e+00
7.47734631e+01 4.36474622e-13 0.00000000e+00
7.61664172e+01 4.42430441e-13 0.00000000e+00
7.75853206e+01 4.48421337e-13 0.00000000e+00
7.90306568e+01 4.54445812e-13 0.00000000e+00
8.05029181e+01 4.60502299e-13 0.00000000e+00
8.20026062e+01 4.66589161e-13 0.00000000e+00
8.35302320e+01 4.72704691e-13 0.00000000e+00
8.50863158e+01 4.78847106e-13 0.00000000e+00
8.66713880e+01 4.85014555e-13 0.00000000e+00
8.82859884e+01 4.91205109e-13 0.00000000e+00
8.99306672e+01 4.97416767e-13 0.00000000e+00
9.16059848e+01 5.03647450e-13 0.00000000e+00
9.33125118e+01 5.09895005e-13 0.00000000e+00
9.50508296e+01 5.16157201e-13 0.00000000e+00
9.68215306e+01 5.22431731e-13 0.00000000e+00
9.86252179e+01 5.28716208e-13 0.00000000e+00
1.00462506e+02 5.35008168e-13 0.00000000e+00
1.02334021e+02 5.41305071e-13 0.00000000e+00
1.04240401e+02 5.47604293e-13 0.00000000e+00
1.06182294e+02 5.53903138e-13 0.00000000e+00
1.08160363e+02 5.60198826e-13 0.00000000e+00
1.10175281e+02 5.66488502e-13 0.00000000e+00
1.12227736e+02 5.72769233e-13 0.00000000e+00
1.14318425e+02 5.79038005e-13 0.00000000e+00
1.16448062e+02 5.85291732e-13 0.00000000e+00
1.18617372e+02 5.91527249e-13 0.00000000e+00
1.20827094e+02 5.97741314e-13 0.00000000e+00
1.23077980e+02 6.03930615e-13 0.00000000e+00
1.25370799e+02 6.10091762e-13 0.00000000e+00
1.27706330e+02 6.16221296e-13 0.00000000e+00
1.30085370e+02 6.22315687e-13 0.00000000e+00
1.32508729e+02 6.28371336e-13 0.00000000e+00
1.34977233e+02 6.34384576e-13 0.00000000e+00
1.37491723e+02 6.40351676e-13 0.00000000e+00
1.40053055e+02 6.46268842e-13 0.00000000e+00
1.42662102e+02 6.52132218e-13 0.00000000e+00
1.45319752e+02 6.57937892e-13 0.00000000e+00
1.48026913e+02 6.63681896e-13 0.00000000e+00
1.50784505e+02 6.69360209e-13 0.00000000e+00
1.53593468e+02 6.74968759e-13 0.00000000e+00
1.56454759e+02 6.80503433e-13 0.00000000e+00
1.59369353e+02 6.85960069e-13 0.00000000e+00
1.62338243e+02 6.91334471e-13 0.00000000e+00
1.65362441e+02 6.96622407e-13 0.00000000e+00
1.68442976e+02 7.01819611e-13 0.00000000e+00
1.71580899e+02 7.06921795e-13 0.00000000e+00
1.74777277e+02 7.11924645e-13 0.00000000e+00
1.78033202e+02 7.16823831e-13 0.00000000e+00
1.81349780e+02 7.21615011e-13 0.00000000e+00
1.84728144e+02 7.26293835e-13 0.00000000e+00
1.88169442e+02 7.30855950e-13 0.00000000e+00
1.91674849e+02 7.35297007e-13 0.00000000e+00
1.95245558e+02 7.39612664e-13 0.00000000e+00
1.98882786e+02 7.43798595e-13 0.00000000e+00
2.02587771e+02 7.47850495e-13 0.00000000e+00
2.06361777e+02 7.51764083e-13 0.00000000e+00
2.10206088e+02 7.55535114e-13 0.00000000e+00
2.14122015e+02 7.59159378e-13 0.00000000e+00
2.18110892e+02 7.62632714e-13 0.00000000e+00
2.22174078e+02 7.65951012e-13 0.00000000e+00
2.26312957e+02 7.69110221e-13 0.00000000e+00
2.30528939e+02 7.72106355e-13 0.00000000e+00
2.34823460e+02 7.74935503e-13 0.00000000e+00
2.39197984e+02 7.77593830e-13 0.00000000e+00
2.43654001e+02 7.80077592e-13 0.00000000e+00
2.48193029e+02 7.82383136e-13 0.00000000e+00
2.52816614e+02 7.84506910e-13 0.00000000e+00
2.57526333e+02 7.86445472e-13 0.00000000e+00
2.62323788e+02 7.88195494e-13 0.00000000e+00
2.67210616e+02 7.89753769e-13 0.00000000e+00
2.72188479e+02 7.91117222e-13 0.00000000e+00
2.77259076e+02 7.92282913e-13 0.00000000e+00
2.82424133e+02 7.93248046e-13 0.00000000e+00
2.87685409e+02 7.94009973e-13 0.00000000e+00
2.93044698e+02 7.94566205e-13 0.00000000e+00
2.98503825e+02 7.94914416e-13 0.00000000e+00
3.04064649e+02 7.95052449e-13 0.00000000e+00
3.09729067e+02 7.94978323e-13 0.00000000e+00
3.15499006e+02 7.94690240e-13 0.00000000e+00
3.21376434e+02 7.94186590e-13 0.00000000e+00
3.27363353e+02 7.93465953e-13 0.00000000e+00
3.33461802e+02 7.92527112e-13 0.00000000e+00
3.39673858e+02 7.91369051e-13 0.00000000e+00
3.46001639e+02 7.89990964e-13 0.00000000e+00
3.52447300e+02 7.88392255e-13 0.00000000e+00
3.59013038e+02 7.86572547e-13 0.00000000e+00
3.65701088e+02 7.84531683e-13 0.00000000e+00
3.72513730e+02 7.82269729e-13 0.00000000e+00
3.79453285e+02 7.79786979e-13 0.00000000e+00
3.86522116e+02 7.77083955e-13 0.00000000e+00
3.93722633e+02 7.74161410e-13 0.00000000e+00
4.01057288e+02 7.71020329e-13 0.00000000e+00
4.08528580e+02 7.67661934e-13 0.00000000e+00
4.16139055e+02 7.64087679e-13 0.00000000e+00
4.23891306e+02 7.60299253e-13 0.00000000e+00
4.31787973e+02 7.56298582e-13 0.00000000e+00
4.39831747e+02 7.52087822e-13 0.00000000e+00
4.48025368e+02 7.47669364e-13 0.00000000e+00
4.56371628e+02 7.43045832e-13 0.00000000e+00
4.64873371e+02 7.38220074e-13 0.00000000e+00
4.73533492e+02 7.33195167e-13 0.00000000e+00
4.82354943e+02 7.27974410e-13 0.00000000e+00
4.91340729e+02 7.22561321e-13 0.00000000e+00
5.00493910e+02 7.16959633e-13 0.00000000e+00
5.09817606e+02 7.11173287e-13 0.00000000e+00
5.19314994e+02 7.05206430e-13 0.00000000e+00
5.28989308e+02 6.99063410e-13 0.00000000e+00
5.38843844e+02 6.92748763e-13 0.00000000e+00
5.48881961e+02 6.86267215e-13 0.00000000e+00
5.59107078e+02 6.79623669e-13 0.00000000e+00
5.69522678e+02 6.72823202e-13 0.00000000e+00
5.80132310e+02 6.65871051e-13 0.00000000e+00
5.90939590e+02 6.58772611e-13 0.00000000e+00
6.01948197e+02 6.51533423e-13 0.00000000e+00
6.13161884e+02 6.44159166e-13 0.00000000e+00
6.24584471e+02 6.36655647e-13 0.00000000e+00
6.36219849e+02 6.29028791e-13 0.00000000e+00
6.48071983e+02 6.21284636e-13 0.00000000e+00
6.60144909e+02 6.13429314e-13 0.00000000e+00
6.72442742e+02 6.05469048e-13 0.00000000e+00
6.84969672e+02 5.97410139e-13 0.00000000e+00
6.97729965e+02 5.89258956e-13 0.00000000e+00
7.10727970e+02 5.81021925e-13 0.00000000e+00
7.23968114e+02 5.72705517e-13 0.00000000e+00
7.37454909e+02 5.64316238e-13 0.00000000e+00
7.51192949e+02 5.55860620e-13 0.00000000e+00
7.65186915e+02 5.47345207e-13 0.00000000e+00
