check,file,line,column,coordinate,reference,candidate,absolute_error,relative_error,allowed,bound_fraction
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3180,2,3180.0,1097.13,1096.92,0.21000000000003638,0.00019140849306831129,0.20971300000000004,1.0013685370007408
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3181,2,3181.0,1093.06,1092.85,0.21000000000003638,0.0001921212010319986,0.209306,1.0033157195686526
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3182,2,3182.0,1089.04,1088.83,0.21000000000003638,0.00019283038272243112,0.208904,1.0052464289819074
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3183,2,3183.0,1085.09,1084.87,0.22000000000002728,0.00020274815913889842,0.208509,1.055110330969058
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3184,2,3184.0,1081.18,1080.96,0.22000000000002728,0.00020348138145362223,0.20811800000000003,1.0570926109227807
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3185,2,3185.0,1077.34,1077.11,0.2300000000000182,0.00021348877791599514,0.207734,1.1071851502402985
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3186,2,3186.0,1073.55,1073.32,0.2300000000000182,0.0002142424665828496,0.207355,1.1092088447349626
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3187,2,3187.0,1069.82,1069.59,0.2300000000000182,0.00021498943747548017,0.206982,1.111207737871014
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3188,2,3188.0,1066.15,1065.92,0.2300000000000182,0.0002157294939736605,0.20661500000000002,1.1131815211868363
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3189,2,3189.0,1062.54,1062.3,0.2400000000000091,0.00022587384945508792,0.206254,1.163613796580959
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3190,2,3190.0,1058.99,1058.75,0.2400000000000091,0.0002266310352316916,0.205899,1.1656200370084804
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3191,2,3191.0,1055.5,1055.25,0.25,0.00023685457129322596,0.20555,1.216249087813184
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3192,2,3192.0,1052.07,1051.82,0.25,0.00023762677388386707,0.205207,1.2182820274162187
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3193,2,3193.0,1048.71,1048.45,0.2599999999999909,0.00024792363951901944,0.20487100000000003,1.2690912818309612
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3194,2,3194.0,1045.4,1045.14,0.2599999999999909,0.00024870862827624916,0.20454,1.2711450083112883
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3195,2,3195.0,1042.16,1041.9,0.2599999999999909,0.00024948184539801073,0.204216,1.2731617503035555
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3196,2,3196.0,1038.98,1038.72,0.2599999999999909,0.0002502454330208386,0.20389800000000002,1.275147377610329
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3197,2,3197.0,1035.87,1035.6,0.2699999999999818,0.0002606504677227662,0.20358700000000002,1.3262143457096072
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3198,2,3198.0,1032.82,1032.55,0.2699999999999818,0.00026142018938438627,0.20328200000000002,1.328204169577148
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3199,2,3199.0,1029.84,1029.56,0.2799999999999727,0.00027188689505163203,0.202984,1.379419067512576
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3200,2,3200.0,1026.92,1026.64,0.2799999999999727,0.00027265999298871645,0.202692,1.3814062715843383
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3201,2,3201.0,1024.07,1023.79,0.2799999999999727,0.00027341880926105903,0.202407,1.3833513663063663
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3202,2,3202.0,1021.29,1021.0,0.2899999999999636,0.0002839546064290883,0.202129,1.4347273275975423
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3203,2,3203.0,1018.57,1018.28,0.2900000000000773,0.0002847128817853238,0.201857,1.4366606062711587
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3204,2,3204.0,1015.91,1015.62,0.2899999999999636,0.0002854583575316353,0.20159100000000002,1.4385562847545952
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3205,2,3205.0,1013.31,1013.02,0.2899999999999636,0.00028619080044602703,0.201331,1.440414044533448
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3206,2,3206.0,1010.78,1010.49,0.2899999999999636,0.0002869071410197705,0.201078,1.442226399705406
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3207,2,3207.0,1008.3,1008.01,0.2899999999999636,0.00028761281364669605,0.20083,1.4440073694167386
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3208,2,3208.0,1005.88,1005.59,0.2899999999999636,0.0002883047679643333,0.20058800000000002,1.4457494964801663
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3209,2,3209.0,1003.52,1003.22,0.2999999999999545,0.00029894770408158734,0.200352,1.4973646382364765
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3210,2,3210.0,1001.21,1000.91,0.3000000000000682,0.00029963743869924214,0.200121,1.499093048705874
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3211,2,3211.0,998.96,998.657,0.30299999999999727,0.00030331544806598586,0.19989600000000002,1.5157882098691182
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3212,2,3212.0,996.759,996.454,0.30500000000006366,0.0003059917191618673,0.19967590000000002,1.5274752736813189
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3213,2,3213.0,994.609,994.303,0.30600000000004,0.0003076585874449558,0.1994609,1.534135261597837
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3214,2,3214.0,992.509,992.202,0.30700000000001637,0.00030931709435382085,0.1992509,1.5407709576218545
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3215,2,3215.0,990.457,990.149,0.3079999999999927,0.0003109675634580731,0.1990457,1.5473833396048884
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3216,2,3216.0,988.453,988.144,0.3089999999999691,0.0003126097042550016,0.1988453,1.5539718565134257
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3217,2,3217.0,986.494,986.184,0.3100000000000591,0.0003142441819210853,0.19864940000000003,1.5605383152431322
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3218,2,3218.0,984.581,984.27,0.31100000000003547,0.0003158704057868631,0.19845810000000003,1.567081414162664
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3219,2,3219.0,982.71,982.399,0.31100000000003547,0.0003164717973766782,0.19827100000000003,1.5685602029547208
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3220,2,3220.0,980.882,980.57,0.31199999999989814,0.0003180810739720967,0.1980882,1.5750559599203695
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3221,2,3221.0,979.094,978.781,0.31300000000010186,0.000319683299050042,0.1979094,1.581531751397871
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3222,2,3222.0,977.346,977.033,0.3129999999999882,0.00032025505808586536,0.1977346,1.5829298463697712
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3223,2,3223.0,975.636,975.322,0.31399999999996453,0.0003218413424678513,0.1975636,1.5893616030481552
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3224,2,3224.0,973.963,973.649,0.31399999999996453,0.00032239417719149964,0.19739630000000002,1.59070864043533
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3225,2,3225.0,972.326,972.011,0.31500000000005457,0.00032396541900561596,0.1972326,1.597099059689192
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3226,2,3226.0,970.722,970.408,0.31399999999996453,0.0003234705713890944,0.1970722,1.5933246799901992
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3227,2,3227.0,969.152,968.837,0.31500000000005457,0.0003250264148451993,0.1969152,1.5996733619347543
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3228,2,3228.0,967.613,967.298,0.31500000000005457,0.0003255433732288162,0.19676130000000003,1.6009245720578922
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3229,2,3229.0,966.104,965.79,0.3140000000000782,0.0003250167683811248,0.19661040000000002,1.5970670930941506
