check,file,column,failing,coordinate_min,coordinate_max
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,2,200,3180.0,3441.0
kmouflage-kmimic,5_Kmimic_1_matterpower.dat,2,4,0.329447,0.386609
kmouflage-kmimic,5_Kmimic_1_scalarCovCls.dat,2,200,3180.0,3441.0
kmouflage-kmimic,5_Kmimic_1_totCls.dat,2,200,3180.0,3441.0
kmouflage-kmimic,5_Kmimic_2_lensedCls.dat,2,623,2440.0,3062.0
kmouflage-kmimic,5_Kmimic_2_lensedtotCls.dat,2,623,2438.0,3062.0
kmouflage-kmimic,5_Kmimic_2_lenspotentialCls.dat,2,705,2429.0,3304.0
kmouflage-kmimic,5_Kmimic_2_matterpower.dat,2,2,0.316529,0.342892
kmouflage-kmimic,5_Kmimic_2_scalarCovCls.dat,2,705,2434.0,3304.0
kmouflage-kmimic,5_Kmimic_2_totCls.dat,2,705,2429.0,3304.0
