check,file_type,atol,bulk_failing,bulk_margin,bulk_values,combined_margin,files,max_absolute_error_below_atol,max_bound_fraction,max_relative_error_above_atol,near_zero_failing,near_zero_margin,near_zero_values,rtol,unreadable_files,values,values_failing
designer-fr,lensedCls,0.1,0,10.02949999998997,54342,21.74050000001977,4,4.000000000010939e-07,0.04599710218252066,9.970586769041329e-06,0,249999.99999931632,13638,0.0001,0,67980,0
designer-fr,lensedtotCls,0.1,0,10.196600000023764,54556,33.89819999926007,4,3.999999999976245e-07,0.02950009145092742,9.807190632148652e-06,0,250000.0000014847,13424,0.0001,0,67980,0
designer-fr,lenspotentialCls,0.1,0,10.252699999951046,55786,21.491200000019546,4,5.000000000005e-07,0.04653067301961224,9.75352833892316e-06,0,199999.9999998,56182,0.0001,0,111968,0
designer-fr,matterpower,1.0,0,,3012,,4,0.0,0.0,0.0,0,,2224,0.0001,0,5236,0
designer-fr,scalCls,100.0,0,10.327600000097453,38132,10016.55379978136,4,0.00010000000000331966,9.983473557760233e-05,9.682791742423835e-06,0,999999.9999668035,45844,0.0001,0,83976,0
designer-fr,scalarCovCls,0.1,0,10.121600000158436,69714,21.696600000019735,4,5.000000000005e-07,0.0460901708101311,9.879860891403995e-06,0,199999.9999998,294182,0.0001,0,363896,0
designer-fr,tensCls,0.01,0,,27280,,4,0.0,0.0,0.0,0,,42700,0.0001,0,69980,0
designer-fr,totCls,0.1,0,10.252699999951046,55786,21.491200000019546,4,5.000000000005e-07,0.04653067301961224,9.75352833892316e-06,0,199999.9999998,14194,0.0001,0,69980,0
designer-fr,transfer_out,1000.0,0,,8130,8849557522.220764,4,1.1299999999999028e-07,1.1299999999876307e-10,0.0,0,8849557522.124655,5000,0.0001,0,13130,0
designer-mc5e,lensedCls,0.1,0,5.866799999994133,108381,26.44000000002405,8,1.1200000000002874e-06,0.0378214826020836,1.7045067157581647e-05,0,89285.71428569137,27579,0.0001,0,135960,0
designer-mc5e,lensedtotCls,0.1,0,6.883249999993117,108448,27.808500000025298,8,1.1100000000003468e-06,0.03596022798781273,1.4528020920364654e-05,0,90090.09009006195,27512,0.0001,0,135960,0
designer-mc5e,lenspotentialCls,0.1,0,10.000300000023307,111567,21.511400000019567,8,2.1000000000048757e-06,0.046486978997140604,9.999700008976425e-06,0,47619.04761893706,112369,0.0001,0,223936,0
designer-mc5e,matterpower,1.0,0,,5792,,8,0.0,0.0,0.0,0,,4698,0.0001,0,10490,0
designer-mc5e,scalCls,100.0,0,10.120400000095495,75929,10011.212000009105,8,0.00010000000000331966,9.988800556806613e-05,9.881032370168809e-06,0,999999.9999668035,92023,0.0001,0,167952,0
designer-mc5e,scalarCovCls,0.1,0,3.572900000012955,139382,21.75940000001979,8,1.6000000000043757e-06,0.04595714955371428,2.7988468750773156e-05,0,62499.99999982908,588410,0.0001,0,727792,0
designer-mc5e,tensCls,0.01,0,55.678499998398934,54193,100055.67849712283,8,9.999999999940612e-09,9.994435248657633e-06,1.7960253958507425e-06,0,1000000.0000059388,85767,0.0001,0,139960,0
designer-mc5e,totCls,0.1,0,10.000300000023307,111567,21.511400000019567,8,2.1000000000048757e-06,0.046486978997140604,9.999700008976425e-06,0,47619.04761893706,28393,0.0001,0,139960,0
designer-mc5e,transfer_out,1000.0,0,,15945,1000000066.7962443,8,1.0000000000287557e-06,9.999999332037602e-10,0.0,0,999999999.9712443,10523,0.0001,0,26468,0
gr-baseline,lensedCls,0.1,0,22.6981999998513,13547,1041.3294999654313,1,1.0000000000287557e-07,0.0009603108334424374,4.405635689202453e-06,0,999999.9999712444,3448,0.0001,0,16995,0
gr-baseline,lensedtotCls,0.1,0,10.162600000023685,13556,128.07279999574843,1,1.0000000000287557e-07,0.007808059166608339,9.840001574377319e-06,0,999999.9999712444,3439,0.0001,0,16995,0
gr-baseline,lenspotentialCls,0.1,0,11.969100000187357,13947,27.497000000025015,1,1.0000000000287557e-07,0.03636760373855658,8.354847064393703e-06,0,999999.9999712444,14045,0.0001,0,27992,0
gr-baseline,matterpower,1.0,0,,725,,1,0.0,0.0,0.0,0,,583,0.0001,0,1308,0
gr-baseline,scalCls,100.0,0,20.367000000018525,9538,10020.367000009113,1,0.00010000000000331966,9.979674397146238e-05,4.909903274901019e-06,0,999999.9999668035,11456,0.0001,0,20994,0
gr-baseline,scalarCovCls,0.1,0,13.425599999912047,17425,167.50690000396102,1,1.0000000000287557e-07,0.005969903329214218,7.448456679824747e-06,0,999999.9999712444,73549,0.0001,0,90974,0
gr-baseline,tensCls,0.01,0,,6832,,1,0.0,0.0,0.0,0,,10663,0.0001,0,17495,0
gr-baseline,totCls,0.1,0,11.969100000187357,13947,27.497000000025015,1,1.0000000000287557e-07,0.03636760373855658,8.354847064393703e-06,0,999999.9999712444,3548,0.0001,0,17495,0
gr-baseline,transfer_out,1000.0,0,,1980,,1,0.0,0.0,0.0,0,,1296,0.0001,0,3276,0
horava,lensedCls,0.1,0,6.016849999993982,94819,21.09550000001919,7,1.4000000000003593e-06,0.04740347467465054,1.6619992188620293e-05,0,71428.5714285531,24146,0.0001,0,118965,0
horava,lensedtotCls,0.1,0,5.898949999994101,94878,20.44070000001859,7,1.4000000000003593e-06,0.04892200364953698,1.6952169453902814e-05,0,71428.5714285531,24087,0.0001,0,118965,0
horava,lenspotentialCls,0.1,0,7.10894999999289,97629,20.339000000018498,7,1.4000000000003593e-06,0.04916662569443387,1.4066774980848088e-05,0,71428.5714285531,98315,0.0001,0,195944,0
horava,matterpower,1.0,0,,5046,,7,0.0,0.0,0.0,0,,4106,0.0001,0,9152,0
horava,scalCls,100.0,0,10.084799999951848,66699,35.9967,7,0.00010000000000331966,0.027780324307505967,9.91591305732166e-06,0,999999.9999668035,80259,0.0001,0,146958,0
horava,scalarCovCls,0.1,0,6.090299999993909,122114,20.246800000018418,7,1.3999999999986246e-06,0.049390520971170276,1.6419552403017917e-05,0,71428.5714286416,514704,0.0001,0,636818,0
horava,tensCls,0.01,0,15.419699999824086,47620,100015.41969885897,7,9.999999999940612e-09,9.998458267844558e-06,6.485210477580034e-06,0,1000000.0000059388,74845,0.0001,0,122465,0
horava,totCls,0.1,0,7.10894999999289,97629,20.339000000018498,7,1.4000000000003593e-06,0.04916662569443387,1.4066774980848088e-05,0,71428.5714285531,24836,0.0001,0,122465,0
horava,transfer_out,1000.0,0,70.01610000000001,13879,1070.0161,7,0.00010000000000331966,0.0009345653771004005,1.4282429326969082e-06,0,9999999.999668034,9118,0.0001,0,22997,0
horndeski-full,lensedCls,0.1,0,1.7075764705893155,54518,20.378000000018535,4,2.9000000000001247e-06,0.04907252919811024,5.856253100365584e-05,0,34482.758620688175,13462,0.0001,0,67980,0
horndeski-full,lensedtotCls,0.1,0,1.6418375000040544,54625,20.811100000018925,4,2.9000000000001247e-06,0.0480512803263206,6.090736750729172e-05,0,34482.758620688175,13355,0.0001,0,67980,0
horndeski-full,lenspotentialCls,0.1,0,0.762000000000482,55773,20.070400000018253,4,2.9000000000001247e-06,0.04982461734689346,0.00013123359580044194,0,34482.758620688175,56195,0.0001,0,111968,0
horndeski-full,matterpower,1.0,0,,2975,,4,0.0,0.0,0.0,0,,2299,0.0001,0,5274,0
horndeski-full,scalCls,100.0,0,10.197899999951305,37946,123.298,4,0.00010000000000331966,0.00811043163717173,9.805940438764598e-06,0,999999.9999668035,46030,0.0001,0,83976,0
horndeski-full,scalarCovCls,0.1,0,0.8739833333324594,69747,20.473800000018624,4,2.9000000000001247e-06,0.04884291142821998,0.00011441865786925762,0,34482.758620688175,294149,0.0001,0,363896,0
horndeski-full,tensCls,0.01,0,94.79909999727398,26890,100094.79909712171,4,9.999999999940612e-09,9.990529068645242e-06,1.0548623352212792e-06,0,1000000.0000059388,43090,0.0001,0,69980,0
horndeski-full,totCls,0.1,0,0.762000000000482,55773,20.070400000018253,4,2.9000000000001247e-06,0.04982461734689346,0.00013123359580044194,0,34482.758620688175,14207,0.0001,0,69980,0
horndeski-full,transfer_out,1000.0,0,49.576400003426805,7921,100049.57640691558,4,1.0000000000287557e-06,9.995044815910668e-06,2.0170887759717896e-06,0,999999999.9712443,5274,0.0001,0,13195,0
kmouflage-kmimic,lensedCls,0.1,623,0.01591918656056597,87313,0.7230515151511764,6,0.0011274000000000006,1.383027321076727,0.006281728002843679,0,88.69966294128078,14657,0.0001,0,101970,623
kmouflage-kmimic,lensedtotCls,0.1,623,0.015738903625110618,87412,0.7279656250001448,6,0.0011274000000000006,1.3736912371374692,0.00635368272034242,0,88.69966294128078,14558,0.0001,0,101970,623
kmouflage-kmimic,lenspotentialCls,0.1,905,0.011253035714285894,83693,0.599099628252776,6,0.0007508999999999988,1.669171458036815,0.008886490946887206,0,133.1735251032097,84259,0.0001,0,167952,905
kmouflage-kmimic,matterpower,1.0,6,0.10836938775510002,4543,0.41770235294122116,6,0.00013199999999990997,2.3940492385512595,0.0009227698160110151,0,7575.757575762743,3303,0.0001,0,7846,6
kmouflage-kmimic,scalCls,100.0,0,0.2258479245283135,60520,10.454654545454545,6,0.07739999999999725,0.0956511758138176,0.0004427758200959844,0,1291.9896640827333,65444,0.0001,0,125964,0
kmouflage-kmimic,scalarCovCls,0.1,905,0.011443878462913224,107559,0.599099628252776,6,0.0007510000000000017,1.669171458036815,0.008738296227461279,0,133.15579227696375,438285,0.0001,0,545844,905
kmouflage-kmimic,tensCls,0.01,0,,41218,,6,0.0,0.0,0.0,0,,63752,0.0001,0,104970,0
kmouflage-kmimic,totCls,0.1,905,0.011253035714285894,83693,0.599099628252776,6,0.0007508999999999988,1.669171458036815,0.008886490946887206,0,133.1735251032097,21277,0.0001,0,104970,905
kmouflage-kmimic,transfer_out,1000.0,0,0.18606344827586208,10666,2.5633438679245284,6,0.19400000000007367,0.3901154318439818,0.0005374510734195232,0,5154.639175255775,8600,0.0001,0,19266,0
