check,file,atol,bulk_failing,bulk_margin,bulk_values,combined_margin,files,max_absolute_error_below_atol,max_bound_fraction,max_relative_error_above_atol,near_zero_failing,near_zero_margin,near_zero_values,rtol,values,values_failing
designer-fr,4_Des_F_R_LCDM_1_lensedCls.dat,0.1,0,10.882799999948038,13545,110.88279999947055,1,1.0000000000287557e-07,0.00901853127811324,9.18881170291446e-06,0,999999.9999712444,3450,0.0001,16995,0
designer-fr,4_Des_F_R_LCDM_1_lensedtotCls.dat,0.1,0,10.27929999998972,13555,1025.4025000023898,1,1.0000000000287557e-07,0.0009752268011806773,9.728288891276644e-06,0,999999.9999712444,3440,0.0001,16995,0
designer-fr,4_Des_F_R_LCDM_1_lenspotentialCls.dat,0.1,0,11.425999999988573,13947,29.465100000026794,1,9.999999999940612e-08,0.033938456003851696,8.751969193077193e-06,0,1000000.0000059388,14045,0.0001,27992,0
designer-fr,4_Des_F_R_LCDM_1_matterpower.dat,1.0,0,,755,,1,0.0,0.0,0.0,0,,553,0.0001,1308,0
designer-fr,4_Des_F_R_LCDM_1_scalCls.dat,100.0,0,10.327600000097453,9537,100010.3276009437,1,0.00010000000000331966,9.998967346553957e-06,9.682791742423835e-06,0,999999.9999668035,11457,0.0001,20994,0
designer-fr,4_Des_F_R_LCDM_1_scalarCovCls.dat,0.1,0,10.630699999930357,17425,162.44140000384124,1,1.0000000000287557e-07,0.006156066125854327,9.406718278255912e-06,0,999999.9999712444,73549,0.0001,90974,0
designer-fr,4_Des_F_R_LCDM_1_tensCls.dat,0.01,0,,6832,,1,0.0,0.0,0.0,0,,10663,0.0001,17495,0
designer-fr,4_Des_F_R_LCDM_1_totCls.dat,0.1,0,11.425999999988573,13947,29.465100000026794,1,9.999999999940612e-08,0.033938456003851696,8.751969193077193e-06,0,1000000.0000059388,3548,0.0001,17495,0
designer-fr,4_Des_F_R_LCDM_1_transfer_out.dat,1000.0,0,,2032,8849557522.220764,1,1.1299999999999028e-07,1.1299999999876307e-10,0.0,0,8849557522.124655,1244,0.0001,3276,0
designer-fr,4_Des_F_R_LCDM_2_lensedCls.dat,0.1,0,10.852700000025294,13547,128.65800000304236,1,1.0000000000287557e-07,0.007772544264455791,9.214296903053336e-06,0,999999.9999712444,3448,0.0001,16995,0
designer-fr,4_Des_F_R_LCDM_2_lensedtotCls.dat,0.1,0,10.936100000025487,13556,123.15450000291221,1,6.999999999958428e-08,0.008119881936724627,9.144027578365866e-06,0,1428571.4285799128,3439,0.0001,16995,0
designer-fr,4_Des_F_R_LCDM_2_lenspotentialCls.dat,0.1,0,11.969100000187357,13947,119.43149999942976,1,1.0000000000287557e-07,0.0083730004228765,8.354847064393703e-06,0,999999.9999712444,14045,0.0001,27992,0
designer-fr,4_Des_F_R_LCDM_2_matterpower.dat,1.0,0,,739,,1,0.0,0.0,0.0,0,,569,0.0001,1308,0
