check,file,line,column,reference,candidate,absolute_error,relative_error,bound_fraction,regime,reference_print_quantum,printed_digit_units
horndeski-full,5_ADE_1_lenspotentialCls.dat,640,5,-0.129540E+00,-0.129523E+00,1.6999999999989246e-05,0.00013123359580044194,1.3123359580044194,bulk,0.000001,17
horndeski-full,5_ADE_1_scalarCovCls.dat,640,3,-0.157317E+00,-0.157299E+00,1.8000000000018e-05,0.00011441865786925762,1.1441865786925762,bulk,0.000001,18
horndeski-full,5_ADE_1_totCls.dat,640,5,-0.129540E+00,-0.129523E+00,1.6999999999989246e-05,0.00013123359580044194,1.3123359580044194,bulk,0.000001,17
kmouflage-kmimic,5_Kmimic_1_lensedCls.dat,1506,5,0.111386E+00,0.110740E+00,0.0006459999999999938,0.005799651661788679,57.99651661788678,bulk,0.000001,646
kmouflage-kmimic,5_Kmimic_1_lensedtotCls.dat,1506,5,0.113573E+00,0.112926E+00,0.0006469999999999948,0.00569677652258895,56.9677652258895,bulk,0.000001,647
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,975,5,-0.545034E+00,-0.547961E+00,0.002927000000000013,0.005370307173497456,53.703071734974564,bulk,0.000001,2927
kmouflage-kmimic,5_Kmimic_1_matterpower.dat,415,2,0.159303E+04,0.159450E+04,1.4700000000000273,0.0009227698160110151,9.227698160110151,bulk,0.01,147
kmouflage-kmimic,5_Kmimic_1_scalCls.dat,3399,2,0.598497E+03,0.598762E+03,0.26499999999998636,0.0004427758200959844,4.427758200959844,bulk,0.001,265
kmouflage-kmimic,5_Kmimic_1_scalarCovCls.dat,975,3,-0.554275E+00,-0.557203E+00,0.0029280000000000417,0.005282576338460227,52.82576338460226,bulk,0.000001,2928
kmouflage-kmimic,5_Kmimic_1_totCls.dat,975,5,-0.545034E+00,-0.547961E+00,0.002927000000000013,0.005370307173497456,53.703071734974564,bulk,0.000001,2927
kmouflage-kmimic,5_Kmimic_1_transfer_out.dat,161,2,0.539584E+06,0.539874E+06,290.0,0.0005374510734195232,5.374510734195232,bulk,1,290
kmouflage-kmimic,5_Kmimic_2_lensedCls.dat,1563,5,-0.180046E+00,-0.181177E+00,0.0011309999999999931,0.006281728002843679,62.817280028436784,bulk,0.000001,1131
kmouflage-kmimic,5_Kmimic_2_lensedtotCls.dat,1563,5,-0.178007E+00,-0.179138E+00,0.0011309999999999931,0.00635368272034242,63.536827203424195,bulk,0.000001,1131
kmouflage-kmimic,5_Kmimic_2_lenspotentialCls.dat,1574,5,-0.126034E+00,-0.127154E+00,0.0011199999999999821,0.008886490946887206,88.86490946887206,bulk,0.000001,1120
kmouflage-kmimic,5_Kmimic_2_matterpower.dat,409,2,0.235274E+04,0.235076E+04,1.9799999999995634,0.000841571954401916,8.41571954401916,bulk,0.01,198
kmouflage-kmimic,5_Kmimic_2_scalCls.dat,3277,2,0.716092E+03,0.715884E+03,0.20799999999997,0.00029046547091710284,2.9046547091710284,bulk,0.001,208
kmouflage-kmimic,5_Kmimic_2_scalarCovCls.dat,1574,3,-0.128057E+00,-0.129176E+00,0.0011190000000000089,0.008738296227461279,87.38296227461278,bulk,0.000001,1119
kmouflage-kmimic,5_Kmimic_2_totCls.dat,1574,5,-0.126034E+00,-0.127154E+00,0.0011199999999999821,0.008886490946887206,88.86490946887206,bulk,0.000001,1120
kmouflage-kmimic,5_Kmimic_2_transfer_out.dat,146,12,0.420944E+06,0.420738E+06,206.0,0.0004893762590748414,4.8937625907484135,bulk,1,206
kmouflage-kmimic,5_Kmimic_3_lenspotentialCls.dat,2174,5,-0.273790E+00,-0.273696E+00,9.399999999998299e-05,0.00034332882866424264,3.4332882866424264,bulk,0.000001,94
kmouflage-kmimic,5_Kmimic_3_matterpower.dat,438,2,0.188664E+03,0.188734E+03,0.0700000000000216,0.00037102997922243566,3.7102997922243564,bulk,0.001,70
kmouflage-kmimic,5_Kmimic_3_scalarCovCls.dat,2174,3,-0.274270E+00,-0.274176E+00,9.40000000000385e-05,0.00034272796879001894,3.427279687900189,bulk,0.000001,94
kmouflage-kmimic,5_Kmimic_3_totCls.dat,2174,5,-0.273790E+00,-0.273696E+00,9.399999999998299e-05,0.00034332882866424264,3.4332882866424264,bulk,0.000001,94
kmouflage-kmimic,5_Kmimic_3_transfer_out.dat,149,12,0.230362E+06,0.230331E+06,31.0,0.00013457080594889782,1.345708059488978,bulk,1,31
