check,passed,files,values,values_failing,max_relative_error_above_atol,max_absolute_error_below_atol,bulk_margin,near_zero_margin,run_seconds,build_seconds,identical,review_flags
designer-fr,True,36,854126,0,9.970586769041329e-06,0.00010000000000331966,10.02949999998997,199999.9999998,21.0,173.0,False,bulk: below 50; near-zero: above 10000
designer-mc5e,True,72,1708478,0,2.7988468750773156e-05,0.00010000000000331966,3.572900000012955,47619.04761893706,38.2,169.0,False,bulk: below 50; near-zero: above 10000
gr-baseline,True,9,213524,0,9.840001574377319e-06,0.00010000000000331966,10.162600000023685,999999.9999668035,4.7,170.0,False,bulk: below 50; near-zero: above 10000
horava,True,63,1494729,0,1.6952169453902814e-05,0.00010000000000331966,5.898949999994101,71428.5714285531,30.3,167.0,False,bulk: below 50; near-zero: above 10000
horndeski-full,False,36,854229,4,0.00013123359580044194,0.00010000000000331966,0.762000000000482,34482.758620688175,26.4,172.0,False,bulk: below 50; near-zero: above 10000
kmouflage-kmimic,False,54,1280752,49121,0.008886490946887206,0.19400000000007367,0.011253035714285894,88.69966294128078,32.0,170.0,False,bulk: below 50
pure-eft-gamma,True,189,4484004,0,9.922603691185448e-06,0.00010000000000331966,10.078000000023488,499999.9999856222,61.6,168.0,False,bulk: below 50; near-zero: above 10000
pure-eft-omega,True,63,1494668,0,9.88366921340596e-06,0.00010000000000331966,10.117699999951691,499999.99999863264,34.0,170.0,False,bulk: below 50; near-zero: above 10000
pure-eft-wde,True,18,427091,0,9.901382232936644e-06,0.00010000000000331966,10.099600000023539,333333.33333145804,8.8,170.0,False,bulk: below 50; near-zero: above 10000
quintessence-galileon,True,54,1281601,0,9.858141346040478e-06,0.00010000000000331966,10.143899999989857,333333.33333531296,28.2,169.0,False,bulk: below 50; near-zero: above 10000
rph-alpha-basis,True,63,1494668,0,9.990309399858831e-06,0.0020000000000095497,10.00970000002333,499999.99999761255,51.0,167.0,False,bulk: below 50; near-zero: above 10000
