check,file_type,files,values,values_failing,bulk_values,bulk_failing,near_zero_values,near_zero_failing,rtol,atol,max_relative_error_above_atol,max_absolute_error_below_atol,bulk_margin,near_zero_margin,review_flags
designer-fr,lensedCls,4,67980,0,54342,0,13638,0,0.0001,0.1,9.970586769041329e-06,4.000000000010939e-07,10.02949999998997,249999.99999931632,bulk: below 50; near-zero: above 10000
designer-fr,lensedtotCls,4,67980,0,54556,0,13424,0,0.0001,0.1,9.807190632148652e-06,3.999999999976245e-07,10.196600000023764,250000.0000014847,bulk: below 50; near-zero: above 10000
designer-fr,lenspotentialCls,4,111968,0,55786,0,56182,0,0.0001,0.1,9.75352833892316e-06,5.000000000005e-07,10.252699999951046,199999.9999998,bulk: below 50; near-zero: above 10000
designer-fr,matterpower,4,5236,0,3012,0,2224,0,0.0001,1.0,0.0,0.0,,,bulk: no measured spread; near-zero: no measured spread
designer-fr,scalCls,4,83976,0,38132,0,45844,0,0.0001,100.0,9.682791742423835e-06,0.00010000000000331966,10.327600000097453,999999.9999668035,bulk: below 50; near-zero: above 10000
designer-fr,scalarCovCls,4,363896,0,69714,0,294182,0,0.0001,0.1,9.879860891403995e-06,5.000000000005e-07,10.121600000158436,199999.9999998,bulk: below 50; near-zero: above 10000
designer-fr,tensCls,4,69980,0,27280,0,42700,0,0.0001,0.01,0.0,0.0,,,bulk: no measured spread; near-zero: no measured spread
designer-fr,totCls,4,69980,0,55786,0,14194,0,0.0001,0.1,9.75352833892316e-06,5.000000000005e-07,10.252699999951046,199999.9999998,bulk: below 50; near-zero: above 10000
designer-fr,transfer_out,4,13130,0,8130,0,5000,0,0.0001,1000.0,0.0,1.1299999999999028e-07,,8849557522.124655,bulk: no measured spread; near-zero: above 10000
designer-mc5e,lensedCls,8,135960,0,108381,0,27579,0,0.0001,0.1,1.7045067157581647e-05,1.1200000000002874e-06,5.866799999994133,89285.71428569137,bulk: below 50; near-zero: above 10000
designer-mc5e,lensedtotCls,8,135960,0,108448,0,27512,0,0.0001,0.1,1.4528020920364654e-05,1.1100000000003468e-06,6.883249999993117,90090.09009006195,bulk: below 50; near-zero: above 10000
designer-mc5e,lenspotentialCls,8,223936,0,111567,0,112369,0,0.0001,0.1,9.999700008976425e-06,2.1000000000048757e-06,10.000300000023307,47619.04761893706,bulk: below 50; near-zero: above 10000
designer-mc5e,matterpower,8,10490,0,5792,0,4698,0,0.0001,1.0,0.0,0.0,,,bulk: no measured spread; near-zero: no measured spread
designer-mc5e,scalCls,8,167952,0,75929,0,92023,0,0.0001,100.0,9.881032370168809e-06,0.00010000000000331966,10.120400000095495,999999.9999668035,bulk: below 50; near-zero: above 10000
designer-mc5e,scalarCovCls,8,727792,0,139382,0,588410,0,0.0001,0.1,2.7988468750773156e-05,1.6000000000043757e-06,3.572900000012955,62499.99999982908,bulk: below 50; near-zero: above 10000
designer-mc5e,tensCls,8,139960,0,54193,0,85767,0,0.0001,0.01,1.7960253958507425e-06,9.999999999940612e-09,55.678499998398934,1000000.0000059388,near-zero: above 10000
designer-mc5e,totCls,8,139960,0,111567,0,28393,0,0.0001,0.1,9.999700008976425e-06,2.1000000000048757e-06,10.000300000023307,47619.04761893706,bulk: below 50; near-zero: above 10000
designer-mc5e,transfer_out,8,26468,0,15945,0,10523,0,0.0001,1000.0,0.0,1.0000000000287557e-06,,999999999.9712443,bulk: no measured spread; near-zero: above 10000
gr-baseline,lensedCls,1,16995,0,13547,0,3448,0,0.0001,0.1,4.405635689202453e-06,1.0000000000287557e-07,22.6981999998513,999999.9999712444,bulk: below 50; near-zero: above 10000
gr-baseline,lensedtotCls,1,16995,0,13556,0,3439,0,0.0001,0.1,9.840001574377319e-06,1.0000000000287557e-07,10.162600000023685,999999.9999712444,bulk: below 50; near-zero: above 10000
gr-baseline,lenspotentialCls,1,27992,0,13947,0,14045,0,0.0001,0.1,8.354847064393703e-06,1.0000000000287557e-07,11.969100000187357,999999.9999712444,bulk: below 50; near-zero: above 10000
gr-baseline,matterpower,1,1308,0,725,0,583,0,0.0001,1.0,0.0,0.0,,,bulk: no measured spread; near-zero: no measured spread
gr-baseline,scalCls,1,20994,0,9538,0,11456,0,0.0001,100.0,4.909903274901019e-06,0.00010000000000331966,20.367000000018525,999999.9999668035,bulk: below 50; near-zero: above 10000
gr-baseline,scalarCovCls,1,90974,0,17425,0,73549,0,0.0001,0.1,7.448456679824747e-06,1.0000000000287557e-07,13.425599999912047,999999.9999712444,bulk: below 50; near-zero: above 10000
gr-baseline,tensCls,1,17495,0,6832,0,10663,0,0.0001,0.01,0.0,0.0,,,bulk: no measured spread; near-zero: no measured spread
gr-baseline,totCls,1,17495,0,13947,0,3548,0,0.0001,0.1,8.354847064393703e-06,1.0000000000287557e-07,11.969100000187357,999999.9999712444,bulk: below 50; near-zero: above 10000
