check,file,files,values,values_failing,bulk_values,bulk_failing,near_zero_values,near_zero_failing,rtol,atol,max_relative_error_above_atol,max_absolute_error_below_atol,bulk_margin,near_zero_margin,review_flags
designer-fr,4_Des_F_R_LCDM_1_lensedCls.dat,1,16995,0,13545,0,3450,0,0.0001,0.1,9.18881170291446e-06,1.0000000000287557e-07,10.882799999948038,999999.9999712444,bulk: below 50; near-zero: above 10000
designer-fr,4_Des_F_R_LCDM_1_lensedtotCls.dat,1,16995,0,13555,0,3440,0,0.0001,0.1,9.728288891276644e-06,1.0000000000287557e-07,10.27929999998972,999999.9999712444,bulk: below 50; near-zero: above 10000
designer-fr,4_Des_F_R_LCDM_1_lenspotentialCls.dat,1,27992,0,13947,0,14045,0,0.0001,0.1,8.751969193077193e-06,9.999999999940612e-08,11.425999999988573,1000000.0000059388,bulk: below 50; near-zero: above 10000
designer-fr,4_Des_F_R_LCDM_1_matterpower.dat,1,1308,0,755,0,553,0,0.0001,1.0,0.0,0.0,,,bulk: no measured spread; near-zero: no measured spread
designer-fr,4_Des_F_R_LCDM_1_scalCls.dat,1,20994,0,9537,0,11457,0,0.0001,100.0,9.682791742423835e-06,0.00010000000000331966,10.327600000097453,999999.9999668035,bulk: below 50; near-zero: above 10000
designer-fr,4_Des_F_R_LCDM_1_scalarCovCls.dat,1,90974,0,17425,0,73549,0,0.0001,0.1,9.406718278255912e-06,1.0000000000287557e-07,10.630699999930357,999999.9999712444,bulk: below 50; near-zero: above 10000
designer-fr,4_Des_F_R_LCDM_1_tensCls.dat,1,17495,0,6832,0,10663,0,0.0001,0.01,0.0,0.0,,,bulk: no measured spread; near-zero: no measured spread
designer-fr,4_Des_F_R_LCDM_1_totCls.dat,1,17495,0,13947,0,3548,0,0.0001,0.1,8.751969193077193e-06,9.999999999940612e-08,11.425999999988573,1000000.0000059388,bulk: below 50; near-zero: above 10000
designer-fr,4_Des_F_R_LCDM_1_transfer_out.dat,1,3276,0,2032,0,1244,0,0.0001,1000.0,0.0,1.1299999999999028e-07,,8849557522.124655,bulk: no measured spread; near-zero: above 10000
designer-fr,4_Des_F_R_LCDM_2_lensedCls.dat,1,16995,0,13547,0,3448,0,0.0001,0.1,9.214296903053336e-06,1.0000000000287557e-07,10.852700000025294,999999.9999712444,bulk: below 50; near-zero: above 10000
designer-fr,4_Des_F_R_LCDM_2_lensedtotCls.dat,1,16995,0,13556,0,3439,0,0.0001,0.1,9.144027578365866e-06,6.999999999958428e-08,10.936100000025487,1428571.4285799128,bulk: below 50; near-zero: above 10000
designer-fr,4_Des_F_R_LCDM_2_lenspotentialCls.dat,1,27992,0,13947,0,14045,0,0.0001,0.1,8.354847064393703e-06,1.0000000000287557e-07,11.969100000187357,999999.9999712444,bulk: below 50; near-zero: above 10000
designer-fr,4_Des_F_R_LCDM_2_matterpower.dat,1,1308,0,739,0,569,0,0.0001,1.0,0.0,0.0,,,bulk: no measured spread; near-zero: no measured spread
designer-fr,4_Des_F_R_LCDM_2_scalCls.dat,1,20994,0,9537,0,11457,0,0.0001,100.0,7.498668986290745e-06,0.00010000000000331966,13.335699999936324,999999.9999668035,bulk: below 50; near-zero: above 10000
designer-fr,4_Des_F_R_LCDM_2_scalarCovCls.dat,1,90974,0,17425,0,73549,0,0.0001,0.1,9.595547665928846e-06,1.0000000000287557e-07,10.42149999995024,999999.9999712444,bulk: below 50; near-zero: above 10000
