model,a,A,eps2,cs2,rho_plus_p_scaled,udot,vdot,w_phi,H_km_s_Mpc
5_Kmimic_1,1E-9,0.990000000000197250219494727038797338461982832117480098283458,2.39091175097257811212901504326536321282521760341466262474343E-13,0.333330469260053572886806375710520460883942852227454403097977,2220397203307497679757387668101.18500098380330799599432448650,-6661191609920900470231549416012.318173474243224849376620268,-2220378125166065484488150899683.53693472899741544906501377399,0.333329514581072294236463867122860080814663606671601023043640,646816579127425254.871539889386834518329780801211809053606544
5_Kmimic_1,1.01157945425989852444093231445431469574192352151028990547035E-9,0.990000000000199994243384207070011641955337796767477223591000,2.42417264659035945199709819470389505980889467068164348743357E-13,0.333330436095965053155090145507608966610098797868031648749891,2120463078153085123843261478098.00376420251898124338013815617,-6361389234457713322747130856802.534000645116095508614718880,-2120444647697966861459262513525.86071371182309340557842561767,0.333329470362558701452805129242466369562809118491269416728735,632093248628608112.413919709873542003049261331544642786218419
5_Kmimic_1,1.02329299228075413096627517481987782734116405723798130859943E-9,0.990000000000202776440448470064011056740317096310332233657147,2.45789624735671016116892716462326314984138492216697716545762E-13,0.333330402547861601767617291506231427777515927476607246022274,2025026722377777307544845736651.89767895492961314567541835315,-6075080167131838791487597605476.941481100249450432810948222,-2025008917620586162597288449803.13254124642945323721422108369,0.333329425632031361113956654157164106762792760351245262535686,617705061907086112.970006244657126546436041876896046035175389
5_Kmimic_1,1.03514216667934381727562347345431827371690129847527289775563E-9,0.990000000000205597341729274854547474196524551720623321954789,2.49208899014142620316054254380807849698202187490705801652513E-13,0.333330368611296697348236585132091802847469450126321948823173,1933885703256302794856460300416.35322598816917526592647172702,-5801657109767462619274755500365.452077983818758418967203540,-1933868502955138539656863741293.20952228011328411336373973698,0.333329380383561719431063336479087340672973524095554567281830,603644390160730037.727807686471433540722110669892381937788988
5_Kmimic_1,1.04712854805089953346450203152814007905679147150392921200565E-9,0.990000000000208457485655907015412192846359407858495006008922,2.52675740136008200128966730467004983227942451905942179357684E-13,0.333330334281772333950140127760064675590919732470302330633438,1846846699028604382303394210242.63402626975737896720319553601,-5540540097084413244910595964297.616162756213663154727128621,-1846830082662710807619883846576.48101394463429906525111060094,0.333329334611152579784422071461561438978360438567096137609568,589903778240129347.277567758635671623627499223294612300075840
5_Kmimic_1,1.05925372517728887880928037327810861997940090623275617859567E-9,0.990000000000211357418147949594315984282253679266427048425580,2.56190809821973629856919494407273977959209297650943339846326E-13,0.333330299554738424978558565441156902902443117513278732412328,1763725088839136203254615448192.26863988285988633360837115241,-5291175266516053116166584371745.201588331497149553542128590,-1763709036584418907144309457104.77511320875824723744936026970,0.333329288308737308029338673149405387169765394361703142523665,576475940695773928.342572701837788446765269033974054230004122
5_Kmimic_1,1.07151930523760641740830222469450873391586596334221727078945E-9,0.990000000000214297692719483530084433027780817363812501297990,2.59754778998196751219479764115240166946970647888975468553149E-13,0.333330264425592200213197697358766271568602032324512045277006,1684344561131923129709777193951.98854293877013347986679983214,-5053033683394456895194215035961.486848927300493694400151884,-1684329053837298456078953553016.67071693655965120765286482852,0.333329241470179028603394972553429250173137032992628697919053,563353757915212966.579036097302898159855259571398663236102511
5_Kmimic_1,1.08392691402120352633001332394169919998657516509368384060280E-9,0.990000000000217278870584737642044472046172294775513784857048,2.63368327924347965990705264501807909360612110581466659552705E-13,0.333330228889677595850561488148356356524934082073420470578252,1608536739670736660543273740510.95662822860383693422559369871,-4825610219010939123305143776913.892395672544893433263650618,-1608521758835283570626977495750.87787428875460351691464425507,0.333329194089269811328693570134451027446833847219376353438428,550530272348142816.033157981185585386639399512817367077598197
5_Kmimic_1,1.09647819614318501314371360614112704642711587624830231690808E-9,0.990000000000220301520765208357159856363533991170987389817995,2.67032146323452328922743471521716767415809428950630401479899E-13,0.333330192942284637485382891989306352518373597631293874337163,1536140826391126694108708984709.82399507002348430598508553104,-4608422479172149538831036664960.251448817444134732854589230,-1536126354142014311997479326246.46793955396309941565981052946,0.333329146159729848801417196180676336365869614258982534765950,537998684817422356.960393111422819264964624144659303002768026
5_Kmimic_1,1.10917481526240106667616957958169071192819307897872731343539E-9,0.990000000000223366220198269621004165458439683243128271560662,2.70746933513537924094134768811016910452271175987467791855434E-13,0.333330156578648815949449624350894000901659497601571777828324,1467003260326751180825451050976.41241216494967970878691490924,-4401009780979062034928203882044.690838159506006488449927688,-1466989279397915679581776518439.63691346937632511204071883591,0.333329097675206624259794907640823180314287836331573229520853,525752350914059893.602721640089449962100114988955547960737807
