model,a,function,first_analytic_vs_stencil,first_source_vs_analytic,second_source_vs_stencil
5_Kmimic_1,1E-9,u,8.53328321204767639762640201356639623040747925310738275440506E-24,8.25678095163713621062997726878383560149331412740262121497742E-59,2.84443191409284183371751178661487956512243416141920446449339E-24
5_Kmimic_1,1E-9,v,8.53333333330597613308307386371103984169781218199536627630995E-24,1.21600909745859744501335280916844471710911265215772735927180E-58,2.84444444443833203957096503582263938227709817310402408191276E-24
5_Kmimic_1,3.16227766016837933199889354443271853371955513932521682685750E-9,u,8.53317483898165589411210538281447732058572751996191621583279E-24,1.00580735655122108884661756303439617334249549246533123948256E-58,2.84440482057434724496323136426865448297931861055019080789813E-24
5_Kmimic_1,3.16227766016837933199889354443271853371955513932521682685750E-9,v,8.53333333317596373476431125464403222054723123693358168551746E-24,7.11590508868912146624906216976554156124847387741548511326713E-58,2.84444444440799630445692847830925268884534494701534299373387E-24
5_Kmimic_1,1E-8,u,8.53283216023461845506397342314946977394207236050743793272781E-24,4.35323877550958247968237212294158613480149085923547780438499E-59,2.84431914842668415251214364189288279847715489918835801447230E-24
5_Kmimic_1,1E-8,v,8.53333333265832431849851777427771656834232409459921277770865E-24,2.88239193442879753243104800272335148904794739589424000402188E-58,2.84444444428721995733580378444418075311011468176252704587556E-24
5_Kmimic_1,3.16227766016837933199889354443271853371955513932521682685750E-8,u,8.53174878171916551029662505389174781235297494357896183767057E-24,4.20234641255041995790330058096234735715009876493286685376796E-59,2.84404827943108315399485196105213673875022534252266634047148E-24
5_Kmimic_1,3.16227766016837933199889354443271853371955513932521682685750E-8,v,8.53333333059692595716214747890562239042237885172112528720174E-24,4.09840103046319864333332618004444490573262917613079663426461E-58,2.84444444380630484998667203594215012752678785171982731432736E-24
5_Kmimic_1,1E-7,u,8.52832549265545248094239253784249302982379110482984394674771E-24,4.19987959468154196330254331827417822382324752546897704395271E-59,2.84319221469685964228611101618671619780317472202607742066111E-24
5_Kmimic_1,1E-7,v,8.53333332238231016663258939898995469795843095758742514220037E-24,4.05336365136874178841245890234021467742201524513547647622157E-58,2.84444444189054115840846808047522601760182378564039503058992E-24
5_Kmimic_1,3.16227766016837933199889354443271853371955513932521682685750E-7,u,8.51752653295903482819436392370398640085874998434237205482936E-24,2.54520228153175982081227048928823728366963377236882041225415E-59,2.84049006223953738948479030042416506021383561941370554366782E-24
5_Kmimic_1,3.16227766016837933199889354443271853371955513932521682685750E-7,v,8.53333328957810427462910372332187626057655016485308937485383E-24,8.10672726176494852313730145823940906395200787773535174707805E-59,2.84444443424856382287415313905008986724210390547270647311706E-24
5_Kmimic_1,0.000001,u,8.48363917083180518101045783380853494361174471033523243242845E-24,3.27460466798550339274517361425453069668464180991255848656043E-59,2.83199437519963638804057600699201302153251415181679954044788E-24
5_Kmimic_1,0.000001,v,8.53333315770778182588443211593085719340765598254944340587192E-24,1.44119592842450939173701830982217985779659487287363653999337E-58,2.84444440363414007946228311652696279787220629264377250538315E-24
5_Kmimic_1,0.00000316227766016837933199889354443271853371955513932521682685750,u,8.37902957946357814373218640583982721309278632541499858671240E-24,1.38845792422234925882039277122599976931541554281129746929124E-58,2.80561165143627155569961138955466471900637257874803976379747E-24
5_Kmimic_1,0.00000316227766016837933199889354443271853371955513932521682685750,v,8.53333261667852378732142003825067507571952539275185147246296E-24,4.50373690394290114702026194161685503849943666531257695805327E-59,2.84444427934931510869996700118068795450779608240746349374967E-24
5_Kmimic_1,0.00001,u,8.07178372609701930159885733735310853908968468084474122084990E-24,1.93544781719096297004405285863345020233941330303263045949307E-59,2.72672832098914755018711101359677577746974610879015641911083E-24
5_Kmimic_1,0.00001,v,8.53333026082063985207206155931325613202777304434737395931387E-24,4.14343648547265039844664527781671336008374383865746925672047E-58,2.84444375426519523848975574102344396943580192724551688783282E-24
5_Kmimic_1,0.0000316227766016837933199889354443271853371955513932521682685750,u,7.28702161612429865619779658026859217277294174163116440509537E-24,1.77074735136940181439811063588018341649444107701822702220012E-59,2.51528405426015281905195079741357140345681814649622172316978E-24
5_Kmimic_1,0.0000316227766016837933199889354443271853371955513932521682685750,v,8.53331833922150322692631975754448826496685038410098813215408E-24,4.23350391248208802129732428810960106132952416016698045707104E-58,2.84444128245013221165795199142608806611963912637882899533805E-24
5_Kmimic_1,0.0001,u,5.83757467106651617204762671021834242422268134566963881603613E-24,1.61494043522635076076575823587403930190576883596556958270001E-59,2.08246798111116007702652010170806655789479945896025468286350E-24
5_Kmimic_1,0.0001,v,8.53323886876013828570475819985946202267939615183070928447748E-24,2.16176597819682910241851185743590685990764816514304679166078E-58,2.84442664035091817371101082737978322355103007958940635432085E-24
5_Kmimic_1,0.000316227766016837933199889354443271853371955513932521682685750,u,4.26946512507208185724712198066118546291469331391955544177439E-24,9.28955299173656823906702188272375717535336310360897142769415E-59,1.54011304424637773936171074285932979559079709937390225476512E-24
5_Kmimic_1,0.000316227766016837933199889354443271853371955513932521682685750,v,8.53251961811111132119669838859680535348562127809410407438855E-24,3.91784014747692814799266015335830884041717494128269941882651E-58,2.84430790814670304641750779127183362375429699541998092207557E-24
5_Kmimic_1,0.001,u,3.30849522149407062343851058199398351772854754347387883864940E-24,8.29603171591541865374144034697520855677375507711664564466875E-59,1.16128546913475105678885515237782655305578236201642073905822E-24
