model,a,H_saved,H_analytic,H_reconstructed_interpolation,relative_background_residual,relative_interpolation_residual,nominal_variant_max_relative
5_Kmimic_1,0.0000099999997474,6576596959.1,6576596958.97231950518168981738612692483853251646166008430374,6576596959.04149387064411027273647548232331115700815105200039,1.94143712336878732377409001319482247330986385937885989495713E-11,8.89610990604116725117994279563557008789557343935457101440182E-12,0
5_Kmimic_1,0.000021544346486,1443385790.6,1443385790.65276892117222592679440320586806434937049579850615,1443385790.66426230445018003592507374105384639472618375091947,3.65591247426381178223671509625252907240465303264285914412655E-11,4.45219184405340472301737354690692572439437402068988362987284E-11,0
5_Kmimic_1,0.000046415887724,322925855.20,322925855.207848034721174629605760486638218663180791107911459,322925855.209592222878014879116958699333350864883569431632390,2.43028998595461476193298579908167781626300457419337365925466E-11,2.97041030418240438871802154103344346080619591005732865397057E-11,0
5_Kmimic_1,0.00010000000443,74821773.416,74821773.4190591230651889448365873959887950331964415358963406,74821773.4203585267876878827697669000685898443621903730485430,4.08854658931367124018543798720841407901491026788222088723162E-11,5.82521181795719835393332649492033057171907782421323262506032E-11,0
5_Kmimic_1,0.00021544346877,18320749.932,18320749.9312665467784445243145150612186298543636486255422548,18320749.9312742915744169063376394529828738626827538526248647,4.00340173998219979352829246056730488400934338862521187323196E-11,3.96112838326302669366377014487671637767184483141877098571163E-11,0
5_Kmimic_1,0.00046415895732,4812427.8287,4812427.82847009896887846736565478776469892902784100762898197,4812427.82875426865462389270699289277698340921691008243101090,4.77723592550242361508294540589815478719954919826037452653882E-11,1.12767726717141306583973729674435944260895011448378751267608E-11,0
5_Kmimic_1,0.0010000001139,1353870.5937,1353870.59370032628808800759970613967779069370819273067896312,1353870.59375599113866827431932420157069288324042382312207439,2.41003896181692412394399052835469247466185219707774024647836E-13,4.13563444885380484537596279138706423335647933400862171172153E-11,0
5_Kmimic_1,0.0021544348376,401096.74046,401096.740449696687131121404245662533848243111556462357062781,401096.740459439002634565021407201857859615573447674801072985,2.56878499113759558232872360743813570993427138588096019552480E-11,1.39865850017029727720999525667505732969725098078399876508435E-12,0
5_Kmimic_1,0.0046415889407,122667.49234,122667.492337334975528584349492975226402510128242320915376040,122667.492338328807815633153796890668114251038894519288070040,2.17255967377970653885527501074362612806231971266528623324102E-11,1.36237576271207094532289832064970140195882309495656883336921E-11,0
5_Kmimic_1,0.0099999997765,38163.288556,38163.2885553446480597526695833516545053654089441814747556140,38163.2885556473054256009013344266981628106123911372630777774,1.71723131062377101674305065523502433205385751397141730114795E-11,9.24172385934619154871612047953584665558182989157282727540426E-12,0
5_Kmimic_1,0.10900000127,1048.2265851,1048.22537485576050814631423243962814697962167935516726138646,1048.22658514653179030500580683920261381254314678222840965090,0.00000115456358071322654700294375490650812183893811523080167679292,4.43909656217134763599656013003836174863080030960025544665500E-11,0
