model,a,Hdot_source_vs_exact,Hdotdot_source_vs_exact,sound_source_vs_Kchi_identity
5_Kmimic_1,1E-9,2.14822543213610398601648851782671534983544699997820004970896E-60,0,6.00005155376199694465722149216683134000542805910998411562232E-60
5_Kmimic_1,1E-8,4.29638549304718218761371948214190341098416160286752625744051E-60,1.49348590367157599553224816812401054745819692416506961155965E-59,3.00025776816058292728099135373973140422468117002286956060433E-60
5_Kmimic_1,0.000001,4.28920678248631364120938324480982480477206586186828106709907E-60,4.96581974036835490497701355479859666956397412659012770772365E-60,6.05155309572921280795490423459041593051032547939235733350820E-60
5_Kmimic_1,0.001,0,1.28892229619489604726096319229322400744926679604040919640281E-59,8.62235940994694976869794640644273587002591216244113824883739E-60
5_Kmimic_1,0.02,4.93693610623716311046407784565326138451540119573793920115311E-60,1.34238371540779331823632454173457688917986802246305302851066E-59,0
5_Kmimic_1,0.1,8.88603884309572423674667313462242914094433799766875694980617E-60,9.37937584244023081232484450025131767317973906953963304835300E-60,1.00333842878834247314458902246034052947583762917981350592964E-60
5_Kmimic_1,0.5,6.59608928990499191557547306895883387257493520696024968734538E-60,1.40116852220128567374191963591973539870888395389655183924984E-60,2.86319974785154307311298745892872175411023747692360650654414E-60
5_Kmimic_1,1,3.23611103677373095966058482340160177362145635126590263661825E-60,5.01314150827390242332884744815503024921361258191359393784186E-60,0
5_Kmimic_2,1E-9,4.29645090864648877269329274140225662939338573662897737146767E-60,9.95680008506258621057916356877647282617006360754554859751207E-60,3.00002574443237026658036527718063938530683570468634136765635E-60
5_Kmimic_2,1E-8,2.14819296838826414942192034223242952737968512682997172489401E-60,4.97828711679921924565937468986040876397481646183522504340943E-60,3.00025744377149535294268234056506592591559968722864298904216E-60
5_Kmimic_2,0.000001,4.28925100771323672081736021574407611728818998866051398288468E-60,0,1.21029765964203582595003874953596486232492152287413170921000E-59
5_Kmimic_2,0.001,0,5.18238912247306314459298036601625967968127376220903749018222E-60,0
5_Kmimic_2,0.02,7.44960999662681606587825346058510049635233185697168776178051E-60,1.08340244503027302434313766109113356986518364375605817876478E-59,0
5_Kmimic_2,0.1,5.10897954967402820504871545057900709937631339109944577804598E-60,9.46433862943179664243767721208198603463636113024144955592396E-60,1.03964386449477042179357381412320344188876171540074447590875E-59
5_Kmimic_2,0.5,3.36473437320242539389414777795435064785178528116183519805095E-60,0,1.63749814711456237287410840317866114685918420130544847536905E-60
5_Kmimic_2,1,9.66322978151980353745028856217062259374915874334762560884185E-60,5.00469207584890402214932435849584666369578523248909130680243E-60,0
5_Kmimic_3,1E-9,4.29645118158971677101970480885194640284143848149881029655480E-60,4.97840051692964246528554995507552337818068953061568138731686E-60,3.00002552716012446227725813090788709338854634852989706366313E-60
5_Kmimic_3,1E-8,6.44458299919172885855560167533588096225122197336816876040685E-60,9.95658372114313465374566616780244858116809276380438544090475E-60,0
5_Kmimic_3,0.000001,1.50133306895566424156499671933637323803297326079858334520425E-59,1.48991056273442083272450621808133957405445172645879708285400E-59,3.02552683155826337723051840221710476010485009378852371444701E-60
5_Kmimic_3,0.001,0,5.35196491167449085656805481430261403578493137486068921905738E-60,0
5_Kmimic_3,0.02,2.57785546013135797656378721214364477429274069496125573306949E-60,2.86254716519817971490495756115942890142854836740382468362688E-60,0
5_Kmimic_3,0.1,3.98245626127979051081313651502337272481978345979005483543876E-60,6.67759651383234521950569670416761409393226695528613641264138E-60,3.15144066777011674251419046392039172399787471537343773450675E-60
5_Kmimic_3,0.5,4.03481282472894363782232557882272002708670316057492743940041E-59,2.87226915705251751344849938437358270245025041519465366716174E-60,1.49837781723881851860805418657378738465476055895221918964644E-60
5_Kmimic_3,1,6.26317526808436578417677461498061324544545678331751251231000E-60,0,3.13636729329841689880461660985120569204234331361151780675665E-60
