model,a,theta,C_exact,C_table,C_exact_over_AH2,C_table_over_AH2,C_difference_over_exact_AH2,B_exact_over_AH,B_table_over_AH,sound_exact,sound_table,kinetic_table,gradient_table,Hdot_closure_over_H2,omega_derivative_relative,gamma1_derivative_relative,c_derivative_relative,lambda_derivative_relative
5_Kmimic_1,1.00207655404291325235913370985059218918563146363060647696644E-9,0.09999999999999999999999999999999999999999999999999999999990,18.7629102523978765172298432419955754522320892740623090947101,-2291298129.14526330289641831311907239488942107723138560130451,7.16674732579174167748113335984091855665905028158252819122399E-12,-0.000874991826171693155881724967347587495093427466703817155901377,-0.000875192315755700548120713732012597415127048484170192255278320,0.0000172201163385774761941084894353854235961506211803443313662046,-0.000555857415806316796706731538474438085852380729376206237449372,0.333330463312706961419044885400612788210687042469784316393421,0.333280144219885063987776719812072072825759814203990153882075,21169937.8508459190028675667994497974584541442188213272872400,7055519.94005593154603855034802268828339939135063620440221810,-0.000327639570563372846747573400610944211255932849156106914813342,0.00993251152831913381157733380658672169437233059060454369464932,0.0328235558915699478909973100024025521759396773489659177561981,0.00832476582752178873115752007247634490371019898404433619433344,0.00832480142794809591853354870009449812830087201373290825979840
5_Kmimic_1,1.01042598061710919893129295118940320718434533525512059739360E-9,0.49999999999999999999999999999999999999999999999999999999950,18.5805031985614866941225870722695208976998085528798904885067,-6351641454.15003165497783955917067105041274703822496513244039,7.33658076868539373613434807399517173177512813967010319661045E-12,-0.00250634053202155311009629122337078714347129007486085574870633,-0.00250796925037138718986908886467957275981914227181451295041984,0.0000173635951089020817964633859220386565762902660989342788195133,-0.00162876355224127553667510771367493214641415812182030165852214,0.333330439399566199136420127946525001650357165468077452751866,0.333187070378445140934147500254348594062945181131440436070814,20830220.7793846200239070856275369205764193820134873665545362,6940360.23681937378737255212208078995402505132651728827800668,-0.00000285452081892257430162813984143510282266434790728165247815712,0.0000236668551126987096160012995684573688050942984762121321846752,0.00105670470011680081956699341238681416406874541113876359823953,0.000338393066095720774972780775552285230806765053995297939320045,0.000338394154788775976276754130465651314460949884293481845963305
5_Kmimic_1,1.01884497565275315584335584865066225519094681718831364706610E-9,0.90000000000000000000000000000000000000000000000000000000021,18.3981954865740093482940694073600273904124656495467639001177,-2282010286.93647187095004812293042478548511461804045827195542,7.50975553993705192185402606817558031119502244113431286626535E-12,-0.000931246041397884104973982074384273685286355341384763132612191,-0.000931468498918078620157395657782329298383505717115405127386999,0.0000175082693399872653224158241332020668298444509134815436033934,-0.000595829408345132156073645447246426998023038774562330286091805,0.333330415287181852919048937955980552858531826404454298836155,0.333277430513012798331373294311269874002336209285277624927406,20479036.1083761665416869618608733708745519047801234593980041,6825200.53358281787935271260711676483202838582980366044527795,0.000332891920578052635910218067451252155762475624439387433960001,0.00988291951323521889047866744246293004572959485371583229721045,0.0324415560958677763035988373275341501948579375718365582612885,0.00819678937355004154780955946600852820451155417559547130238362,0.00819682518801609697103426987636578157861728918516781455191463
5_Kmimic_1,1.02308074229701374769631368469051239073841254528608730357063E-9,0.10000000000000000000000000000000000000000000000000000000001,18.3070993076152552191306380032181595179369809088128890830663,-2108849936.71282167160729491751522176847719158570626326098366,7.59761491633395267316664671689729419782578595099952316351064E-12,-0.000874991674863538625926143719283748843777253882892950080311428,-0.000875192164817979934581797732627491338393364225221234045259636,0.0000175810578626957218546291302731470806779117340227507241209136,-0.000555496421394803273014503366884190937074447360367674234141200,0.333330403155755105340018934495076157539085260766310918003089,0.333280084078371467227548196344674666546313747168503652463752,20309616.4503675682199716365259342733111560954160866977188942,6768790.67817797940727193310133587260362476104501001995991633,-0.000327639567082874740805413381947246246289049589128184287933986,0.00993251152824243152723093022031105394885228984776422864012383,0.0328235531511500864255519450064869510131520822808927974427087,0.00832476507798758167647699184948675510550155911590123646490239,0.00832480142461672082119746507088976527914358945741328271988260
5_Kmimic_1,1.03160517838208054816494972400517870162743171344563331238855E-9,0.49999999999999999999999999999999999999999999999999999999961,18.1250617203032585823477171329721253599564382380217165269049,-5845882090.60384261710651117633741639924485609864119937425205,7.77591621867655631919152342254527156668753172802059371988771E-12,-0.00250634009324753543330550623220365840662521350196467074353357,-0.00250796881153879083277322151619208444344955320326711079872346,0.0000177275439865127187466720500502657473659725795850176428812980,-0.00162839944779058984545761085552789305183014145910496321451449,0.333330378741388449068505933949874328956532555267278030398941,0.333187009764827675885554140556280956818133398739380539850583,19983705.1405299257922704217398337579390021705617409056716492,6658310.95979518140793224138114061779105593566859053739911477,-0.00000285452070108170626995072136525740926800104648673230396524999,0.0000236668551128327712462739374717189170190497234850194733346111,0.00105670457804757712703989267067471417908039551381835334018503,0.000338393033676675961811206306324730432507571343056003526030682,0.000338394145189258272199725640666266752980270679392182724766534
5_Kmimic_1,1.04020064112962292194925222635577468749857471382772981046432E-9,0.90000000000000000000000000000000000000000000000000000000032,17.9432811924971656548271798843920337783648196271530480804669,-2100301658.04203580777350119312902393335921658238506656238625,7.95771313342252114519196205528329514035381817015968207349050E-12,-0.000931245875670110290003318390246526445806425002151972467394548,-0.000931468333569132399382524471737100913267431375316852639823482,0.0000178752506278164628487526617955212169654087746477202441628753,-0.000595462367643500718178133010412733956247578773584372266025386,0.333330354123602084712420210912045126609610089887843009147010,0.333277369366120907569690255671859572920155004460176300392760,19646792.2615510200308507009533948958168554829307804999697266,6547831.24141238522878044723263838186549552347824726555720333,0.000332891916820676358379243049153586032134928475155586326478633,0.00988291951315850189294547577063305037868458267920952403006957,0.0324415533639566624890244388862304710832599817708701610973818,0.00819678862639144375078239661450607032131931822863129612691887,0.00819682519154667358543545806393374035462762176181891192435465
5_Kmimic_1,1.04452519224812107685785819023790174373075940136866929957914E-9,0.10000000000000000000000000000000000000000000000000000000012,17.8525057555189524967907980572613977197013097797261908196215,-1940929477.08795629358951941848903161970985737353006157110081,8.04994228241200170344018567441749920734035145399031988181417E-12,-0.000874991520371506002934866858030992163414360994377012365802287,-0.000875192010716571462086874674202823253759698753130661069809706,0.0000179495648170764464015669725205747887590320614133466585586343,-0.000555127860444485271194000792828335719175185617344694277839148,0.333330341737897419842555491513546718064328277642441520152443,0.333280022676275628434314301609032108088367651947476920396216,19484257.6481609888505926933464175738847063835948756976852539,6493713.83080949120925345508440035682865188182496214079430866,-0.000327639563529423647089447395984235404801633294592753973585447,0.00993251152816412087447592196512618694427974885835741730041578,0.0328235503532903660930885886246183585513236657398530985385225,0.00832476431274286518552579494133541782029447889162691363819939,0.00832480142121551411110419946130683785071125028972169143861558
5_Kmimic_1,1.05322830615931644160646808096279106714010899379879189059838E-9,0.49999999999999999999999999999999999999999999999999999999972,17.6712200685163269991810404857460428619029285929408059277095,-5380394635.04015259441748592638881914201330417793076361724829,8.23710224566812215199940555874083553403271268513868296785901E-12,-0.00250633964526408607303364654256624473182729881612178880091658,-0.00250796836350816884488635850556891846828286213327046700227088,0.0000180991213281703857598868840759112115113423833552727216251039,-0.00162802771161498115052332938964603346512619441142605225341365,0.333330316811799230960919012389328901214309606342445271188435,0.333186947880732730339170832685443497314149789512399926779775,19171591.0464393539531356272626613561186173787864493226564436,6387723.90678071129157417421028316613312358871028522987948001,-0.00000285452058077083284704610294197266350246817507597764360097062,0.0000236668551129696445688390855795066165304086376330963477940909,0.00105670445341975731194257515293480259090932212609347437136677,0.000338393000578115734893973986843289195011787835337769862779923,0.000338394135388529465235929843674123204702520150767784238169767
5_Kmimic_1,1.06200393549887425572438875981225890865200871786760292431897E-9,0.90000000000000000000000000000000000000000000000000000000043,17.4903336215642470319786206095146115746868587581627436156266,-1933061872.73422603374666326707371719358319555893478893547178,8.42791896204043086235597084018615350186310425191340745938304E-12,-0.000931245706455791632907074660531552785741782727915582173340161,-0.000931468164754437531661248277800574138153128328376535190608430,0.0000182499239386443086960963596607526009532713404766601441601358,-0.000595087633673533166045223373233961190007153970972692350182736,0.333330291678017681921677978697443686643313095387894736212946,0.333277306937574161514301325633364329306139643707524345286588,18848369.9669613522873372343273243184369542068253889929766812,6281733.98275193316412582062036332434326350879249012193898119,0.000332891912984543589052041964826840317390858612596806504863094,0.00988291951308017621738181199489976319420990823468980661368425,0.0324415505747840441850174777854788871908429072368804150870110,0.00819678786357213288506287568969837415268391134024209346239101,0.00819682519515124869501512098865448676965552147599024683504344
5_Kmimic_1,1.06641913207299248715397735746303501363409193469181445747181E-9,0.10000000000000000000000000000000000000000000000000000000023,17.4000566952252014764719554549828645958942035709970265901188,-1786379955.38217473553328349628809346327319932528534727993119,8.52471932070720066702025584963314495020676365320085050451516E-12,-0.000874991362628321898543758284746645962689343024866911552171048,-0.000875191853385164906281516765836875613709518155834826559865603,0.0000183257957722350844022576917151718485748917344164908007085263,-0.000554751574361612108624344636318198438045068407229864694992159,0.333330279032705465883002203061714107752876220854703236020180,0.333279959987175890805809260772960179942346564667779482014985,18692440.5962958038989324037585612504493482533041945519475523,6229815.85399612777229121432456239790672282853234287551476608,-0.000327639559901490445464883658886478090281666132066194076291538,0.00993251152808416812477115838517705773306171508364650026807603,0.0328235474967868573135526830357940295376450592075816441195244,0.00832476353145834580896865090654489554603948972053067375375123,0.00832480141774301198354520015260290776075085535300040785794845
