model,arm,ic,a,H_saved,H_analytic,relative_H_residual
5_Kmimic_1,stock-trace,nominal,0.0000099999997474,6576596959.1,6576596958.97231950518168981738612692483853251646166008430374,1.94143712336878732377409001319482247330986385937885989495713E-11
5_Kmimic_1,stock-trace,nominal,0.000021544346486,1443385790.6,1443385790.65276892117222592679440320586806434937049579850615,3.65591247426381178223671509625252907240465303264285914412655E-11
5_Kmimic_1,stock-trace,nominal,0.000046415887724,322925855.20,322925855.207848034721174629605760486638218663180791107911459,2.43028998595461476193298579908167781626300457419337365925466E-11
5_Kmimic_1,stock-trace,nominal,0.00010000000443,74821773.416,74821773.4190591230651889448365873959887950331964415358963406,4.08854658931367124018543798720841407901491026788222088723162E-11
5_Kmimic_1,stock-trace,nominal,0.00021544346877,18320749.932,18320749.9312665467784445243145150612186298543636486255422548,4.00340173998219979352829246056730488400934338862521187323196E-11
5_Kmimic_1,stock-trace,nominal,0.00046415895732,4812427.8287,4812427.82847009896887846736565478776469892902784100762898197,4.77723592550242361508294540589815478719954919826037452653882E-11
5_Kmimic_1,stock-trace,nominal,0.0010000001139,1353870.5937,1353870.59370032628808800759970613967779069370819273067896312,2.41003896181692412394399052835469247466185219707774024647836E-13
5_Kmimic_1,stock-trace,nominal,0.0021544348376,401096.74046,401096.740449696687131121404245662533848243111556462357062781,2.56878499113759558232872360743813570993427138588096019552480E-11
5_Kmimic_1,stock-trace,nominal,0.0046415889407,122667.49234,122667.492337334975528584349492975226402510128242320915376040,2.17255967377970653885527501074362612806231971266528623324102E-11
5_Kmimic_1,stock-trace,nominal,0.0099999997765,38163.288556,38163.2885553446480597526695833516545053654089441814747556140,1.71723131062377101674305065523502433205385751397141730114795E-11
5_Kmimic_1,stock-trace,nominal,0.10900000127,1048.2265851,1048.22537485576050814631423243962814697962167935516726138646,0.00000115456358071322654700294375490650812183893811523080167679292
5_Kmimic_1,stock-trace,nominal,0.20800000277,401.13088022,401.129442265833246743819564679744432130589622430934997181408,0.00000358475060799261090713571055910233858678507766819174206931617
5_Kmimic_1,stock-trace,nominal,0.30700001165,228.95856270,228.958008756085685811156206807362101650020500560504002964112,0.00000241940684716828388700045171055028630951236966337330998627902
5_Kmimic_1,stock-trace,nominal,0.40600000577,156.96729696,156.964698248041818618611910329657815180054029950668337494405,0.0000165557540233594743561396060507457434780180936082707045616695
5_Kmimic_1,stock-trace,nominal,0.50499999989,120.31439745,120.313597634344883664945760951586609280346086732055969277972,0.00000664771359095839493180330442149190727558489671038719088893214
5_Kmimic_1,stock-trace,nominal,0.60400002351,99.541794815,99.5385852913699361415598057149247014458411227640637632630610,0.0000322429752851936100605288756998645258843501187098495551574308
5_Kmimic_1,stock-trace,nominal,0.70299998813,86.938755656,86.9385492298010600101171416814809973275595836714778811427499,0.00000237438639859050667775201218831984015504378203265202310155319
5_Kmimic_1,stock-trace,nominal,0.80200001176,78.923667204,78.9193330133621180129164143491305087671935642907874104383223,0.0000549162347801081669006026395323001697557524105211187150160139
5_Kmimic_1,stock-trace,nominal,0.90099997637,73.618608768,73.6181204680553255662547207110607606839617082090982777737045,0.00000663283309541003448481914321034451035459957283340313035321716
5_Kmimic_1,stock-trace,nominal,1.0000000000,70.000000000,70.000000000000000000000000000000,0E-21
5_Kmimic_1,stock-trace,variant,0.0000099999997474,6576596959.1,6576596958.97231950518168981738612692483853251646166008430374,1.94143712336878732377409001319482247330986385937885989495713E-11
5_Kmimic_1,stock-trace,variant,0.000021544346486,1443385790.6,1443385790.65276892117222592679440320586806434937049579850615,3.65591247426381178223671509625252907240465303264285914412655E-11
5_Kmimic_1,stock-trace,variant,0.000046415887724,322925855.20,322925855.207848034721174629605760486638218663180791107911459,2.43028998595461476193298579908167781626300457419337365925466E-11
5_Kmimic_1,stock-trace,variant,0.00010000000443,74821773.416,74821773.4190591230651889448365873959887950331964415358963406,4.08854658931367124018543798720841407901491026788222088723162E-11
5_Kmimic_1,stock-trace,variant,0.00021544346877,18320749.932,18320749.9312665467784445243145150612186298543636486255422548,4.00340173998219979352829246056730488400934338862521187323196E-11
5_Kmimic_1,stock-trace,variant,0.00046415895732,4812427.8287,4812427.82847009896887846736565478776469892902784100762898197,4.77723592550242361508294540589815478719954919826037452653882E-11
5_Kmimic_1,stock-trace,variant,0.0010000001139,1353870.5937,1353870.59370032628808800759970613967779069370819273067896312,2.41003896181692412394399052835469247466185219707774024647836E-13
