ic,file,byte_identical,comparison_status,stock_rows,repaired_rows,matched_rows,stock_only_rows,repaired_only_rows,values,values_failing,max_bound_fraction,max_relative_error_above_atol,max_absolute_error_below_atol,coordinate_rows_changed,bulk_margin,near_zero_margin,combined_margin
nominal,5_Kmimic_1_lensedCls.dat,False,matched coordinates,3399,3399,3399,0,0,16995,11089,6531.892983273571,41.31357621245039,6.1130258,0,2.4205118309236004e-06,0.0163585110339302,0.00015309497607519479
nominal,5_Kmimic_1_lensedtotCls.dat,False,matched coordinates,3399,3399,3399,0,0,16995,11089,6531.891632734368,40.5180544671709,6.1130294,0,2.4680355785844405e-06,0.01635850140030408,0.000153095007729236
nominal,5_Kmimic_1_lenspotentialCls.dat,False,matched coordinates,3499,3499,3499,0,0,27992,10236,6816.860687171047,20.235277811800955,6.2678051,0,4.941864447330754e-06,0.015954548427167908,0.00014669509117033072
nominal,5_Kmimic_1_matterpower.dat,False,matched coordinates,654,654,654,0,0,1308,379,3029.560184535714,0.912591710165692,0.014508000000000076,0,0.00010957802803385514,68.92748828232664,0.0003300809157396726
nominal,5_Kmimic_1_scalCls.dat,False,matched coordinates,3499,3499,3499,0,0,20994,6649,927.6073775920925,0.9915645016405534,98.85027600000001,0,0.00010085072613485961,1.0116309639843595,0.0010780423098788047
nominal,5_Kmimic_1_scalarCovCls.dat,False,matched coordinates,3499,3499,3499,0,0,90974,13669,6816.8616187178795,20.36855322241545,6.2678033,0,4.909528865798417e-06,0.015954553009026307,0.00014669507112395817
nominal,5_Kmimic_1_tensCls.dat,False,matched coordinates,3499,3499,3499,0,0,17495,0,0.1794084007985866,0.001692164722526532,2.3328999999999993e-05,0,0.059095901639346506,428.6510351922501,5.573874999993189
nominal,5_Kmimic_1_totCls.dat,False,matched coordinates,3499,3499,3499,0,0,17495,10236,6816.860687171047,20.235277811800955,6.2678051,0,4.941864447330754e-06,0.015954548427167908,0.00014669509117033072
nominal,5_Kmimic_1_transfer_out.dat,False,NOT COMPARED: no common coordinates,252,252,0,252,252,0,,,,,0,,,
nominal,5_Kmimic_2_lensedCls.dat,False,matched coordinates,3399,3399,3399,0,0,16995,9897,5785.795405519786,24.272052697643932,5.5577613,0,4.119964687193799e-06,0.017992856224321833,0.00017283708287472044
nominal,5_Kmimic_2_lensedtotCls.dat,False,matched coordinates,3399,3399,3399,0,0,16995,9897,5785.794172874405,24.55002893144652,5.5577591,0,4.073314955320009e-06,0.017992863346667904,0.0001728371196971212
nominal,5_Kmimic_2_lenspotentialCls.dat,False,matched coordinates,3499,3499,3499,0,0,27992,10100,6143.855711181329,35.480219623276255,5.779113,0,2.8184718432350553e-06,0.01730369349067928,0.00016276423910478228
nominal,5_Kmimic_2_matterpower.dat,False,matched coordinates,654,654,654,0,0,1308,376,2632.7880534126466,0.8898526373908822,0.011987000000000081,0,0.00011237815768373498,83.42370901810239,0.00037982548526980354
nominal,5_Kmimic_2_scalCls.dat,False,matched coordinates,3499,3499,3499,0,0,20994,6382,799.8421444987616,0.985983988866181,81.43965,0,0.00010142152522678756,1.2279031159883422,0.0012502466978989606
