arm,model,ic,tag,rows,max_error_over_abs_derivative
stock-trace,5_Kmimic_1,nominal,SAB_IC_C_DERIV,252,16.996099344028654
stock-trace,5_Kmimic_1,nominal,SAB_IC_D_DERIV,252,0.0028640479091677547
stock-trace,5_Kmimic_1,variant,SAB_IC_C_DERIV,252,16.99609934714286
stock-trace,5_Kmimic_1,variant,SAB_IC_D_DERIV,252,0.0028640479090087942
stock-trace,5_Kmimic_2,nominal,SAB_IC_C_DERIV,251,17.08480678591295
stock-trace,5_Kmimic_2,nominal,SAB_IC_D_DERIV,251,0.0029205457166094945
stock-trace,5_Kmimic_2,variant,SAB_IC_C_DERIV,251,17.084806791363533
stock-trace,5_Kmimic_2,variant,SAB_IC_D_DERIV,251,0.0029205457166940623
stock-trace,5_Kmimic_3,nominal,SAB_IC_C_DERIV,251,21.74386973064419
stock-trace,5_Kmimic_3,nominal,SAB_IC_D_DERIV,251,0.0026051116854820143
stock-trace,5_Kmimic_3,variant,SAB_IC_C_DERIV,251,21.743869754860143
stock-trace,5_Kmimic_3,variant,SAB_IC_D_DERIV,251,0.0026051116854790227
stock-trace,5_Kmouflage_1,nominal,SAB_IC_C_DERIV,246,0.0015174898308548484
stock-trace,5_Kmouflage_1,nominal,SAB_IC_D_DERIV,246,0.00022925406052730897
stock-trace,5_Kmouflage_1,variant,SAB_IC_C_DERIV,246,0.0015174898307439978
stock-trace,5_Kmouflage_1,variant,SAB_IC_D_DERIV,246,0.0002292540605347039
stock-trace,5_Kmouflage_2,nominal,SAB_IC_C_DERIV,232,0.00191282373508428
stock-trace,5_Kmouflage_2,nominal,SAB_IC_D_DERIV,232,0.000247714596974297
stock-trace,5_Kmouflage_2,variant,SAB_IC_C_DERIV,232,0.0019128237349850345
stock-trace,5_Kmouflage_2,variant,SAB_IC_D_DERIV,232,0.00024771459707739865
stock-trace,5_Kmouflage_3,nominal,SAB_IC_C_DERIV,250,0.001404389417098341
stock-trace,5_Kmouflage_3,nominal,SAB_IC_D_DERIV,250,2.239996788466158e-06
stock-trace,5_Kmouflage_3,variant,SAB_IC_C_DERIV,250,0.0014043894171290752
stock-trace,5_Kmouflage_3,variant,SAB_IC_D_DERIV,250,2.239997004988251e-06
consistent-background-trace,5_Kmimic_1,nominal,SAB_IC_C_DERIV,252,0.0014890821684472974
consistent-background-trace,5_Kmimic_1,nominal,SAB_IC_D_DERIV,252,2.8685304431558332e-12
consistent-background-trace,5_Kmimic_1,variant,SAB_IC_C_DERIV,252,0.0014890821684472974
consistent-background-trace,5_Kmimic_1,variant,SAB_IC_D_DERIV,252,2.8685304431558332e-12
consistent-background-trace,5_Kmimic_2,nominal,SAB_IC_C_DERIV,251,0.001297081166646563
consistent-background-trace,5_Kmimic_2,nominal,SAB_IC_D_DERIV,251,2.66618112195854e-12
consistent-background-trace,5_Kmimic_2,variant,SAB_IC_C_DERIV,251,0.001297081166646563
consistent-background-trace,5_Kmimic_2,variant,SAB_IC_D_DERIV,251,3.142028407386085e-12
consistent-background-trace,5_Kmimic_3,nominal,SAB_IC_C_DERIV,251,0.014049024724281425
consistent-background-trace,5_Kmimic_3,nominal,SAB_IC_D_DERIV,251,2.8049118493893457e-11
consistent-background-trace,5_Kmimic_3,variant,SAB_IC_C_DERIV,251,0.014049024724281425
consistent-background-trace,5_Kmimic_3,variant,SAB_IC_D_DERIV,251,2.8049118493893457e-11
consistent-background-trace,5_Kmouflage_1,nominal,SAB_IC_C_DERIV,246,0.0015174898308548484
consistent-background-trace,5_Kmouflage_1,nominal,SAB_IC_D_DERIV,246,0.00022925406052730897
consistent-background-trace,5_Kmouflage_1,variant,SAB_IC_C_DERIV,246,0.0015174898307439978
consistent-background-trace,5_Kmouflage_1,variant,SAB_IC_D_DERIV,246,0.0002292540605347039
consistent-background-trace,5_Kmouflage_2,nominal,SAB_IC_C_DERIV,232,0.00191282373508428
consistent-background-trace,5_Kmouflage_2,nominal,SAB_IC_D_DERIV,232,0.000247714596974297
consistent-background-trace,5_Kmouflage_2,variant,SAB_IC_C_DERIV,232,0.0019128237349850345
consistent-background-trace,5_Kmouflage_2,variant,SAB_IC_D_DERIV,232,0.00024771459707739865
consistent-background-trace,5_Kmouflage_3,nominal,SAB_IC_C_DERIV,250,0.001404389417098341
consistent-background-trace,5_Kmouflage_3,nominal,SAB_IC_D_DERIV,250,2.239996788466158e-06
consistent-background-trace,5_Kmouflage_3,variant,SAB_IC_C_DERIV,250,0.0014043894171290752
consistent-background-trace,5_Kmouflage_3,variant,SAB_IC_D_DERIV,250,2.239997004988251e-06
