file,coordinate_rows_changed,atol,bulk_failing,bulk_margin,bulk_values,combined_margin,files,max_absolute_error_below_atol,max_bound_fraction,max_relative_error_above_atol,near_zero_failing,near_zero_margin,near_zero_values,rtol,values,values_failing
5_Kmimic_1_lensedCls.dat,0,0.1,525,0.010247093023255842,15289,0.8232891891889261,1,0.0012080000000000007,1.2146400233740016,0.009758865248226924,0,82.78145695364233,1706,0.0001,16995,525
5_Kmimic_1_lensedtotCls.dat,0,0.1,523,0.010417940199335457,15302,0.8269542857145005,1,0.0012080000000000007,1.2092566871891661,0.009598826455768948,0,82.78145695364233,1693,0.0001,16995,523
5_Kmimic_1_lenspotentialCls.dat,0,0.1,551,0.013089592760180851,13954,0.7379155555558538,1,0.001196600000000006,1.3551686130897789,0.007639657079646102,0,83.57011532675874,14038,0.0001,27992,551
5_Kmimic_1_matterpower.dat,0,1.0,0,0.26109487179488094,765,1.1074016260162438,1,5.8000000000002494e-05,0.903014747772577,0.00038300254352969875,0,17241.379310344088,613,0.0001,1378,0
5_Kmimic_1_scalCls.dat,0,100.0,0,0.36317272727286987,10918,12.961400000000001,1,0.02010000000001355,0.07715215948894409,0.0002753510726174793,0,4975.124378106098,10076,0.0001,20994,0
5_Kmimic_1_scalarCovCls.dat,0,0.1,551,0.01282975113122178,17443,0.7379155555558538,1,0.001196599999999999,1.3551686130897789,0.007794383458978053,0,83.57011532675922,73531,0.0001,90974,551
5_Kmimic_1_tensCls.dat,0,0.01,0,,6679,,1,0.0,0.0,0.0,0,,10816,0.0001,17495,0
5_Kmimic_1_totCls.dat,0,0.1,551,0.013089592760180851,13954,0.7379155555558538,1,0.001196600000000006,1.3551686130897789,0.007639657079646102,0,83.57011532675874,3541,0.0001,17495,551
5_Kmimic_1_transfer_out.dat,0,1000.0,0,0.4256677966101695,5550,4.482308,1,0.12699999999999534,0.22309934971001547,0.00023492498327652662,0,7874.015748031785,5487,0.0001,11037,0
5_Kmimic_2_lensedCls.dat,0,0.1,0,0.15488008298755754,14651,3.385950000003079,1,0.0002571999999999991,0.295338088276286,0.0006456608110678351,0,388.80248833592674,2344,0.0001,16995,0
5_Kmimic_2_lensedtotCls.dat,0,0.1,0,0.15669377593357958,14661,3.385950000003079,1,0.0002571999999999991,0.295338088276286,0.000638187441742349,0,388.80248833592674,2334,0.0001,16995,0
5_Kmimic_2_lenspotentialCls.dat,0,0.1,0,0.06502978723404472,13953,2.0065999999995436,1,8.809999999999374e-05,0.49835542709071434,0.0015377568381101437,0,1135.0737797957675,14039,0.0001,27992,0
5_Kmimic_2_matterpower.dat,0,1.0,0,0.24286142857141282,766,1.1304535087720562,1,6.4000000000064e-05,0.8846007308042593,0.0004117574395746225,0,15624.999999984373,612,0.0001,1378,0
5_Kmimic_2_scalCls.dat,0,100.0,0,0.8337166666666352,10771,23.3248,1,0.013599999999996726,0.04287282206063932,0.00011994482538032958,0,7352.941176472358,10223,0.0001,20994,0
5_Kmimic_2_scalarCovCls.dat,0,0.1,0,0.06642026666666416,17439,2.0065999999995436,1,8.810000000000762e-05,0.49835542709071434,0.0015055645666383522,0,1135.0737797955887,73535,0.0001,90974,0
5_Kmimic_2_tensCls.dat,0,0.01,0,,6679,,1,0.0,0.0,0.0,0,,10816,0.0001,17495,0
5_Kmimic_2_totCls.dat,0,0.1,0,0.06502978723404472,13953,2.0065999999995436,1,8.809999999999374e-05,0.49835542709071434,0.0015377568381101437,0,1135.0737797957675,3542,0.0001,17495,0
5_Kmimic_2_transfer_out.dat,0,1000.0,0,0.458521568627451,5541,5.52894,1,0.12100000000000932,0.1808664952052292,0.0002180922487449005,0,8264.462809916718,5483,0.0001,11024,0
