file,line,column,coordinate,reference,candidate,absolute_error,allowed,bound_fraction
5_Kmimic_1_lensedCls.dat,2971,2,2971.0,2046.17,2045.8,0.37000000000011823,0.304617,1.2146400233740016
5_Kmimic_1_lensedtotCls.dat,2860,2,2860.0,1894.34,1893.99,0.34999999999990905,0.28943399999999997,1.2092566871891661
5_Kmimic_1_lenspotentialCls.dat,2982,2,2982.0,2320.62,2320.17,0.4499999999998181,0.33206199999999997,1.3551686130897789
5_Kmimic_1_matterpower.dat,406,2,0.322923,3621.04,3619.81,1.2300000000000182,1.362104,0.903014747772577
5_Kmimic_1_scalCls.dat,1553,5,1553.0,166526.0,166517.0,9.0,116.6526,0.07715215948894409
5_Kmimic_1_scalarCovCls.dat,2982,2,2982.0,2320.62,2320.17,0.4499999999998181,0.33206199999999997,1.3551686130897789
5_Kmimic_1_totCls.dat,2982,2,2982.0,2320.62,2320.17,0.4499999999998181,0.33206199999999997,1.3551686130897789
5_Kmimic_1_transfer_out.dat,291,2,0.311602,1205770.0,1205520.0,250.0,1120.577,0.22309934971001547
5_Kmimic_2_lensedCls.dat,3144,2,3144.0,1031.57,1031.51,0.05999999999994543,0.203157,0.295338088276286
5_Kmimic_2_lensedtotCls.dat,3144,2,3144.0,1031.57,1031.51,0.05999999999994543,0.203157,0.295338088276286
5_Kmimic_2_lenspotentialCls.dat,3145,2,3145.0,1006.6,1006.5,0.10000000000002274,0.20066,0.49835542709071434
5_Kmimic_2_matterpower.dat,407,2,0.329447,2887.17,2886.03,1.1399999999998727,1.2887170000000001,0.8846007308042593
5_Kmimic_2_scalCls.dat,251,5,251.0,1332480.0,1332490.0,10.0,233.24800000000002,0.04287282206063932
5_Kmimic_2_scalarCovCls.dat,3145,2,3145.0,1006.6,1006.5,0.10000000000002274,0.20066,0.49835542709071434
5_Kmimic_2_totCls.dat,3145,2,3145.0,1006.6,1006.5,0.10000000000002274,0.20066,0.49835542709071434
5_Kmimic_2_transfer_out.dat,294,3,0.319217,1057880.0,1058080.0,200.0,1105.788,0.1808664952052292
