model,a,k,grid_coordinate,grid_phase,phase_product,C,A1,adotoa,normalized_C
5_Kmimic_1,9.982088267010705e-09,0.2161433044133287,110.91357604526887,0.9135760452688686,0.07895485477976276,-217524.3005112022,5693.449835982275,216.14536457325386,-0.0008177874283824468
5_Kmimic_1,9.999999919769415e-09,33.22974864190532,110.99999961323485,0.9999996132348485,3.867650018737947e-07,-0.7125841034787412,5671.892426674151,215.75807147246024,-2.6988207538576844e-09
5_Kmimic_1,1.0151496363878055e-08,0.21253634304797417,111.72483703736249,0.7248370373624908,0.19944830663005791,-506212.0645679252,5506.748271886679,212.53861310136702,-0.0020349867353220475
5_Kmimic_1,1.032675384295327e-08,0.20892938168261962,112.54998456853791,0.5499845685379086,0.24750154290807913,-578665.1174519508,5322.074442156677,208.9317225264918,-0.00249079272683567
5_Kmimic_1,1.0508168969778797e-08,0.20532242031726508,113.38950227918455,0.3895022791845548,0.23779025369459195,-512109.6793468619,5139.758475077895,205.3247275780574,-0.0023634028917888903
5_Kmimic_1,1.0696072094783599e-08,0.20171545895191054,114.24389969103687,0.24389969103687292,0.18441263174899086,-365804.7413349013,4960.078282036551,201.7176586372883,-0.0018124789118329364
5_Kmimic_1,1.0890817609997648e-08,0.198108497586556,115.11371382553827,0.11371382553826948,0.10078299141972148,-184121.09468777865,4783.264561787078,198.1105428677869,-0.0009807627662880066
5_Kmimic_1,1.1092786174764788e-08,0.19450153622120145,115.99951121562864,0.9995112156286439,0.0004885454611944504,-888.250032654138,4609.516905173672,194.50340595129848,-5.093606589929087e-06
5_Kmimic_1,1.1302387219701649e-08,0.1908945748558469,116.90189021781354,0.9018902178135448,0.08848425282578148,-148187.2174053623,4441.182839456956,190.89658309076353,-0.0009156210747985541
5_Kmimic_1,1.152006172357594e-08,0.18728761349049236,117.82148346697392,0.8214834669739162,0.14664838046243095,-226131.34419471663,4275.598465775117,187.2897061960134,-0.00150777325338197
5_Kmimic_1,1.1746285309415171e-08,0.18368065212513782,118.75896053469297,0.7589605346929744,0.1829394414715288,-259711.6788940752,4112.8967576183795,183.68279115529245,-0.0018715728289766815
5_Kmimic_1,1.1981571712475955e-08,0.18007369075978327,119.71503085086628,0.7150308508662846,0.20376173317572166,-266297.7211778861,3953.176411694902,180.0758501638815,-0.002077353026635932
5_Kmimic_1,1.2226476670658937e-08,0.17646672939442873,120.69044691035273,0.6904469103527333,0.21372997433709795,-257115.97507346078,3796.5047288489477,176.46889176686167,-0.0021747472942968754
5_Kmimic_1,1.24816023071356e-08,0.17285976802907418,121.68600783252387,0.6860078325238703,0.2154010862397718,-238498.96663603839,3642.920124994196,172.86192079396497,-0.002190978842777673
5_Kmimic_1,1.2747602070766421e-08,0.16925280666371964,122.70256328618794,0.7025632861879387,0.20896811508874322,-212935.42527305454,3492.434292125251,169.25493829781217,-0.0021283202534817976
5_Kmimic_1,1.3025186324282822e-08,0.1656458452983651,123.74101784671134,0.741017846711344,0.19191039756662712,-179948.46521112224,3345.0340164456156,165.6479414233976,-0.00196053916347943
5_Kmimic_1,1.3315128678675433e-08,0.16203888393301055,124.80233583230442,0.8023358323044221,0.15859304450479236,-136825.2390140497,3200.6826603919817,162.04092323872928,-0.0016280741489999402
5_Kmimic_1,1.3618273193663356e-08,0.158431922567656,125.88754668765259,0.8875466876525877,0.09980756488950762,-79218.53749362433,3059.321307802173,158.43387250934612,-0.0010315865087066043
5_Kmimic_1,1.3935542590429062e-08,0.15482496120230146,126.99775100725718,0.9977510072571789,0.002243934774463826,-1638.154538137979,2920.8695636675166,154.82677335609299,-2.3396483082610336e-05
5_Kmimic_1,1.426794764456635e-08,0.15121799983694692,128.13412728254966,0.134127282549656,0.11613715462550074,-72142.41464793305,2787.1770802203177,151.21995416674727,-0.0011318996043319836
5_Kmimic_1,1.461659794666001e-08,0.14761103847159238,129.297939427602,0.2979394276019889,0.20917152508218811,-119486.96174215432,2656.451287858144,147.61310309289007,-0.002064281125844915
5_Kmimic_1,1.4982714259039974e-08,0.14400407710623783,130.49054516749868,0.4905451674986807,0.24991060614237198,-131262.58676478828,2528.5070743499905,144.00618277176906,-0.0025033092748909676
5_Kmimic_1,1.5367642713714075e-08,0.1403971157408833,131.713405299081,0.7134052990809892,0.20445817832415358,-98727.51367730119,2403.1744655709804,140.39915659063706,-0.0020841256632030884
5_Kmimic_1,1.5772871380218512e-08,0.13679015437552874,132.9680945688141,0.9680945688141094,0.03088747464673302,-13709.71816774762,2280.2634502429983,136.7919816192853,-0.00032130850322600185
5_Kmimic_1,1.6200049703063394e-08,0.1331831930101742,134.25631451647692,0.2563145164769196,0.19061738512012252,-71928.60760938945,2162.482211141187,133.18519694436307,-0.0018751550992649726
5_Kmimic_1,1.6651010884849648e-08,0.12957623164481966,135.57990712306778,0.5799071230677839,0.24361485168303004,-84467.94692666114,2047.2488196777178,129.5782870368485,-0.0024572924144831416
5_Kmimic_1,1.7127797706049555e-08,0.1259692702794651,136.94086926691162,0.9408692669116192,0.05563428949281146,-17721.955783278412,1933.935356897323,125.97111277213693,-0.0005774677881530174
5_Kmimic_1,1.7632694054370666e-08,0.12236230891411058,138.3413726048312,0.3413726048312071,0.22483734950196363,-60852.876484352164,1825.5660675700703,122.36432315971145,-0.0022262500003878034
5_Kmimic_1,1.8168261526908596e-08,0.11875534754875604,139.7837843809171,0.7837843809170977,0.1694664251474996,-42120.22977037127,1719.313252000492,118.75729791218585,-0.0017370611449539178
5_Kmimic_1,1.8737382047734076e-08,0.1151483861834015,141.27068922876333,0.2706892287633309,0.19741657019484402,-41672.701323828755,1616.5682011547642,115.1503548212584,-0.0019441378726858937
5_Kmimic_1,1.934331117047827e-08,0.11154142481804695,142.80492082536102,0.8049208253610232,0.15702329026115242,-30424.487271634876,1516.7532321478875,111.54334868497985,-0.0016122076664385181
5_Kmimic_1,1.998973873580289e-08,0.1079344634526924,144.38959009389387,0.38959009389387234,0.23780965263363607,-39113.89584015704,1420.539553877808,107.93645397823131,-0.0023634229682279913
5_Kmimic_1,2.0680865677727448e-08,0.10432750208733786,146.0281272406693,0.028127240669306275,0.027336099001637196,-3815.690534480888,1326.4783270066662,104.32929585991681,-0.00026427764836602113
5_Kmimic_1,2.142149423589334e-08,0.10072054072198332,147.72432350981572,0.7243235098157186,0.1996789629439572,-25562.144396522825,1236.9158824433018,100.72248207319029,-0.002037062147781757
5_Kmimic_1,2.2217140076142764e-08,0.09711357935662877,149.48238500583577,0.4823850058357664,0.249689711980594,-27109.92092927611,1150.065205683158,97.11555414565883,-0.0024993564675920947
5_Kmimic_1,2.307417025741143e-08,0.09350661799127423,151.30699630471346,0.30699630471346495,0.21274957360574231,-19584.748329401908,1066.1282470238268,93.50855396731718,-0.00210090233080706
5_Kmimic_1,2.399997356273967e-08,0.08989965662591969,153.2033947277612,0.20339472776120715,0.1620253124801516,-12641.438530333422,985.3482926895513,89.9015461482074,-0.0015873489425354368
5_Kmimic_1,2.500317409126029e-08,0.08629269526056514,155.17746107110682,0.1774610711068192,0.14596863934843965,-9648.60159258199,907.8425872411107,86.29456747526979,-0.0014272068108559526
5_Kmimic_1,2.6093900843689877e-08,0.0826857338952106,157.23582985932018,0.23582985932017664,0.18021413677320233,-10087.802961053647,833.6222738707996,82.6876256412827,-0.0017698898464338165
5_Kmimic_1,2.7284130941705032e-08,0.07907877252985605,159.38602388892772,0.3860238889277241,0.23700944610484023,-11229.818803442422,762.6070079008531,79.08069750037598,-0.0023546750095933752
5_Kmimic_1,2.858813122371617e-08,0.07547181116450151,161.6366201269086,0.6366201269086105,0.23133494092347517,-9273.217887786992,694.6344384909328,75.47372614126385,-0.0023435950393215165
5_Kmimic_1,3.0023032564782465e-08,0.07186484979914697,163.99745586201348,0.9974558620134815,0.0025376653484240888,-85.97520531229473,629.4644283662866,71.8666168329755,-2.6445246991715144e-05
5_Kmimic_1,3.160958739271555e-08,0.06825788843379242,166.4798897892141,0.4798897892140985,0.2495955794221466,-6613.118953657496,568.2390031424986,68.25980039160767,-0.0024977287163660085
5_Kmimic_1,3.3373179211189525e-08,0.06465092706843788,169.09713144512855,0.09713144512855365,0.08769692749579243,-1815.1209213250918,509.56957947825276,64.65274218887028,-0.0008521737838827089
5_Kmimic_1,3.5345191374597066e-08,0.06104396570308334,171.86466745887012,0.864667458870116,0.11701764444121227,-2043.6979302187046,454.3495765362581,61.045795534908855,-0.0012070216556365231
5_Kmimic_1,3.7112507264475656e-08,0.05813711011340712,174.2167528131286,0.2167528131286076,0.16977103112944253,-2319.304850549108,412.17078194186195,58.13896336165465,-0.0016647386643306424
5_Kmimic_1,3.906586289844174e-08,0.05523025452373091,176.68951379512512,0.6895137951251229,0.21408452145727294,-2471.5655691665916,372.0423337111253,55.23212668495746,-0.0021776909432285594
5_Kmimic_1,4.123626522347804e-08,0.052323398934054695,179.29600499256512,0.29600499256511625,0.20838603694164173,-1879.4342995297325,333.91312990368647,52.325263826738514,-0.0020557523647661514
5_Kmimic_1,4.366201868505732e-08,0.04941654334437848,182.05152303880752,0.05152303880751674,0.04886841527955586,-344.05095870290256,297.7316749969433,49.41833732297033,-0.00047317465336325795
5_Kmimic_1,4.6391003204605036e-08,0.04650968775470227,184.97414782959902,0.9741478295990191,0.025183835686539514,-149.48513530913525,263.73083962139117,46.511473163474804,-0.0002620094171929495
5_Kmimic_1,4.948386737841739e-08,0.04360283216502605,188.0854634047506,0.08546340475061243,0.07815941119904542,-334.44039764043214,231.83609323898443,43.60463827110952,-0.0007587038803280633
5_Kmimic_1,5.301858918145884e-08,0.04069597657534983,191.41152653974984,0.4115265397498433,0.24217244683136394,-806.5928663142047,202.0518209997667,40.697840108841994,-0.0024101767093898073
5_Kmimic_1,5.709714062601484e-08,0.037789120985673615,194.98419392773152,0.9841939277315248,0.01555624034791893,-40.270036371482675,174.12796962712326,37.790907644835485,-0.0001619342970342348
5_Kmimic_1,6.185548618788384e-08,0.0348822653959974,198.84298295607297,0.8429829560729729,0.13236269184344512,-246.11317185080625,148.42581893593817,34.88408924530671,-0.0013626070322334848
5_Kmimic_1,6.747903438691222e-08,0.03197540980632119,203.03774338053154,0.037743380531537696,0.03631881775758924,-44.7788648755764,124.69781149599262,31.977206306127584,-0.00035118277885329036
5_Kmimic_1,7.422736317075569e-08,0.02906855421664497,207.63260767272777,0.6326076727277723,0.23241520513372405,-205.03876367438912,103.119626004361,29.070401687704333,-0.002352841001224751
5_Kmimic_1,8.195524829590017e-08,0.026327737309294167,212.40702151321435,0.407021513214346,0.24135500099504997,-140.79386996663337,84.60194969749048,26.32958389592799,-0.002400575576754121
5_Kmimic_1,9.048775320135429e-08,0.023845346647144064,217.18146834100702,0.1814683410070188,0.14853758221917915,-57.29496962206684,69.39249588745116,23.847171577612492,-0.001451878360420758
5_Kmimic_1,9.990866770624122e-08,0.021597015726897976,221.95595160830243,0.9559516083024278,0.04210813088642949,-11.607557716084816,56.916823642222155,21.59882071160226,-0.00043715969817070127
5_Kmimic_1,1.1031050927042581e-07,0.019560675515016755,226.73047474560946,0.730474745609456,0.19688139163625654,-35.896057822211645,46.71600540276737,19.56250790149112,-0.0020078533775040566
5_Kmimic_1,1.2179543390633462e-07,0.017716337823806026,231.50504177290185,0.5050417729018477,0.24997458052600618,-30.138016749486656,38.33362938721184,17.718176964077177,-0.002504359432885373
5_Kmimic_1,1.34476241701535e-07,0.016045899112546638,236.27965750181846,0.2796575018184626,0.2014491834951192,-16.060310585120355,31.447660709319678,16.04772968106355,-0.0019830715962216583
5_Kmimic_1,1.4847748587612792e-07,0.014532962787831519,241.05432717291166,0.05432717291165545,0.05137573119508254,-2.707263314345779,25.792638740081,14.53477379701005,-0.000496841847887872
5_Kmimic_1,1.6393669754759063e-07,0.013162678258854829,245.82905621477602,0.829056214776017,0.14172200751727979,-5.340580492092888,21.16825711275273,13.164500578472738,-0.0014557761072861814
5_Kmimic_1,1.8100574006962599e-07,0.011921595167861938,250.60385056934723,0.6038505693472302,0.23921505924625613,-5.961737356686353,17.37351977728571,11.923427298032538,-0.0024136973321808226
5_Kmimic_1,1.9985230570314063e-07,0.01079753136492407,255.37871710364166,0.37871710364166233,0.23529045905093274,-3.8778046473155183,14.255651258124855,10.799362042039963,-0.00233239801174252
5_Kmimic_1,2.1579406240381099e-07,0.009779453331112239,259.07838348470636,0.07838348470636447,0.0722395140316516,-0.855196103989296,12.225384064306084,10.001816055413403,-0.0006992709328261688
