ic,file,byte_identical,values,values_failing,max_bound_fraction,max_relative_error_above_atol,max_absolute_error_below_atol,coordinate_rows_changed
nominal,5_Kmimic_1_lensedCls.dat,True,16995,0,0.0,0.0,0.0,0
nominal,5_Kmimic_1_lensedtotCls.dat,True,16995,0,0.0,0.0,0.0,0
nominal,5_Kmimic_1_lenspotentialCls.dat,True,27992,0,0.0,0.0,0.0,0
nominal,5_Kmimic_1_matterpower.dat,True,1308,0,0.0,0.0,0.0,0
nominal,5_Kmimic_1_scalCls.dat,True,20994,0,0.0,0.0,0.0,0
nominal,5_Kmimic_1_scalarCovCls.dat,True,90974,0,0.0,0.0,0.0,0
nominal,5_Kmimic_1_tensCls.dat,True,17495,0,0.0,0.0,0.0,0
nominal,5_Kmimic_1_totCls.dat,True,17495,0,0.0,0.0,0.0,0
nominal,5_Kmimic_1_transfer_out.dat,True,3276,0,0.0,0.0,0.0,0
nominal,5_Kmimic_2_lensedCls.dat,True,16995,0,0.0,0.0,0.0,0
nominal,5_Kmimic_2_lensedtotCls.dat,True,16995,0,0.0,0.0,0.0,0
nominal,5_Kmimic_2_lenspotentialCls.dat,True,27992,0,0.0,0.0,0.0,0
nominal,5_Kmimic_2_matterpower.dat,True,1308,0,0.0,0.0,0.0,0
nominal,5_Kmimic_2_scalCls.dat,True,20994,0,0.0,0.0,0.0,0
nominal,5_Kmimic_2_scalarCovCls.dat,True,90974,0,0.0,0.0,0.0,0
nominal,5_Kmimic_2_tensCls.dat,True,17495,0,0.0,0.0,0.0,0
nominal,5_Kmimic_2_totCls.dat,True,17495,0,0.0,0.0,0.0,0
nominal,5_Kmimic_2_transfer_out.dat,True,3263,0,0.0,0.0,0.0,0
nominal,5_Kmimic_3_lensedCls.dat,True,16995,0,0.0,0.0,0.0,0
nominal,5_Kmimic_3_lensedtotCls.dat,True,16995,0,0.0,0.0,0.0,0
nominal,5_Kmimic_3_lenspotentialCls.dat,True,27992,0,0.0,0.0,0.0,0
nominal,5_Kmimic_3_matterpower.dat,True,1308,0,0.0,0.0,0.0,0
nominal,5_Kmimic_3_scalCls.dat,True,20994,0,0.0,0.0,0.0,0
nominal,5_Kmimic_3_scalarCovCls.dat,True,90974,0,0.0,0.0,0.0,0
nominal,5_Kmimic_3_tensCls.dat,True,17495,0,0.0,0.0,0.0,0
nominal,5_Kmimic_3_totCls.dat,True,17495,0,0.0,0.0,0.0,0
nominal,5_Kmimic_3_transfer_out.dat,True,3263,0,0.0,0.0,0.0,0
variant,5_Kmimic_1_lensedCls.dat,True,16995,0,0.0,0.0,0.0,0
variant,5_Kmimic_1_lensedtotCls.dat,True,16995,0,0.0,0.0,0.0,0
variant,5_Kmimic_1_lenspotentialCls.dat,True,27992,0,0.0,0.0,0.0,0
variant,5_Kmimic_1_matterpower.dat,True,1308,0,0.0,0.0,0.0,0
variant,5_Kmimic_1_scalCls.dat,True,20994,0,0.0,0.0,0.0,0
variant,5_Kmimic_1_scalarCovCls.dat,True,90974,0,0.0,0.0,0.0,0
variant,5_Kmimic_1_tensCls.dat,True,17495,0,0.0,0.0,0.0,0
variant,5_Kmimic_1_totCls.dat,True,17495,0,0.0,0.0,0.0,0
variant,5_Kmimic_1_transfer_out.dat,True,3276,0,0.0,0.0,0.0,0
variant,5_Kmimic_2_lensedCls.dat,True,16995,0,0.0,0.0,0.0,0
variant,5_Kmimic_2_lensedtotCls.dat,True,16995,0,0.0,0.0,0.0,0
variant,5_Kmimic_2_lenspotentialCls.dat,True,27992,0,0.0,0.0,0.0,0
variant,5_Kmimic_2_matterpower.dat,True,1308,0,0.0,0.0,0.0,0
variant,5_Kmimic_2_scalCls.dat,True,20994,0,0.0,0.0,0.0,0
variant,5_Kmimic_2_scalarCovCls.dat,True,90974,0,0.0,0.0,0.0,0
variant,5_Kmimic_2_tensCls.dat,True,17495,0,0.0,0.0,0.0,0
variant,5_Kmimic_2_totCls.dat,True,17495,0,0.0,0.0,0.0,0
variant,5_Kmimic_2_transfer_out.dat,True,3263,0,0.0,0.0,0.0,0
variant,5_Kmimic_3_lensedCls.dat,True,16995,0,0.0,0.0,0.0,0
variant,5_Kmimic_3_lensedtotCls.dat,True,16995,0,0.0,0.0,0.0,0
variant,5_Kmimic_3_lenspotentialCls.dat,True,27992,0,0.0,0.0,0.0,0
variant,5_Kmimic_3_matterpower.dat,True,1308,0,0.0,0.0,0.0,0
variant,5_Kmimic_3_scalCls.dat,True,20994,0,0.0,0.0,0.0,0
variant,5_Kmimic_3_scalarCovCls.dat,True,90974,0,0.0,0.0,0.0,0
variant,5_Kmimic_3_tensCls.dat,True,17495,0,0.0,0.0,0.0,0
variant,5_Kmimic_3_totCls.dat,True,17495,0,0.0,0.0,0.0,0
variant,5_Kmimic_3_transfer_out.dat,True,3263,0,0.0,0.0,0.0,0
