ic,file,byte_identical
nominal,5_Kmimic_1_lensedCls.dat,True
nominal,5_Kmimic_1_lensedtotCls.dat,True
nominal,5_Kmimic_1_lenspotentialCls.dat,True
nominal,5_Kmimic_1_matterpower.dat,True
nominal,5_Kmimic_1_scalCls.dat,True
nominal,5_Kmimic_1_scalarCovCls.dat,True
nominal,5_Kmimic_1_tensCls.dat,True
nominal,5_Kmimic_1_totCls.dat,True
nominal,5_Kmimic_1_transfer_out.dat,True
nominal,5_Kmimic_2_lensedCls.dat,True
nominal,5_Kmimic_2_lensedtotCls.dat,True
nominal,5_Kmimic_2_lenspotentialCls.dat,True
nominal,5_Kmimic_2_matterpower.dat,True
nominal,5_Kmimic_2_scalCls.dat,True
nominal,5_Kmimic_2_scalarCovCls.dat,True
nominal,5_Kmimic_2_tensCls.dat,True
nominal,5_Kmimic_2_totCls.dat,True
nominal,5_Kmimic_2_transfer_out.dat,True
variant,5_Kmimic_1_lensedCls.dat,True
variant,5_Kmimic_1_lensedtotCls.dat,True
variant,5_Kmimic_1_lenspotentialCls.dat,True
variant,5_Kmimic_1_matterpower.dat,True
variant,5_Kmimic_1_scalCls.dat,True
variant,5_Kmimic_1_scalarCovCls.dat,True
variant,5_Kmimic_1_tensCls.dat,True
variant,5_Kmimic_1_totCls.dat,True
variant,5_Kmimic_1_transfer_out.dat,True
variant,5_Kmimic_2_lensedCls.dat,True
variant,5_Kmimic_2_lensedtotCls.dat,True
variant,5_Kmimic_2_lenspotentialCls.dat,True
variant,5_Kmimic_2_matterpower.dat,True
variant,5_Kmimic_2_scalCls.dat,True
variant,5_Kmimic_2_scalarCovCls.dat,True
variant,5_Kmimic_2_tensCls.dat,True
variant,5_Kmimic_2_totCls.dat,True
variant,5_Kmimic_2_transfer_out.dat,True
