rule atol=1e-10 rtol=1e-08
field         variant   max|ref|   max|err|(1st)  |r|@worst(1st)
Eta          0.00e+00   4.08e-04   0.00e+00   4.08e-04
PH           0.00e+00   7.75e+00   0.00e+00   1.86e-02
PHL          0.00e+00   1.18e+00   0.00e+00   1.17e+00
S            0.00e+00   1.70e+01   0.00e+00   1.70e+01
T            0.00e+00   1.70e+01   0.00e+00   1.70e+01
U            8.42e-09   1.25e-02   1.73e-18   1.06e-02
V            1.01e-09   2.21e-02   1.08e-19   6.93e-04
W            0.00e+00   4.09e-04   0.00e+00   4.25e-11
momDiag      2.65e-13   9.59e-05   2.65e-23   1.53e-07
viscDiag     8.58e-08   1.00e+21   4.37e-11   4.24e+03
