rule atol=1e-10 rtol=1e-08
field            ieee    variant      cheap      wrong   max|ref|   max|err|(1st)  |r|@worst(1st)
Eta          1.11e-04   8.96e-05   3.10e+06   4.17e+05   2.31e-01   2.84e-14   1.57e-02
PH           8.23e-04   7.88e-04   1.34e+07   4.15e+05   2.08e+03   3.76e-12   4.41e-01
PHL          1.66e-07   1.86e-07   3.18e+03   1.23e+03   2.02e+03   1.82e-12   1.10e+03
PTRACER01    1.84e-04   1.67e-04   1.86e+02   1.27e+02   3.74e+01   6.65e-11   3.62e+01
S            4.25e-04   3.87e-04   2.51e+02   2.08e+02   3.74e+01   1.54e-10   3.63e+01
T            2.17e-03   1.97e-03   9.96e+02   2.21e+03   2.62e+01   4.07e-10   1.88e+01
TRAC01       7.28e-05   6.62e-05   6.06e+01   1.83e+02   3.74e+01   2.64e-11   3.62e+01
U            6.02e-03   4.88e-03   9.33e+04   1.65e+06   2.32e-01   8.05e-13   2.23e-03
V            1.42e-02   1.28e-02   7.15e+04   1.82e+06   8.13e-02   2.96e-12   1.03e-02
W            2.28e-06   4.98e-06   4.17e+02   5.95e+03   8.65e-05   2.28e-16   7.65e-06
