ice_snowH               var12         ieee12    nonlintol12    wrongcoef12   max|ref|
EmPmR                0.00e+00       0.00e+00       0.00e+00       0.00e+00   5.83e-05
Eta                  0.00e+00       0.00e+00       0.00e+00       0.00e+00   1.55e-02
FU                   1.24e-02       2.61e-03       7.24e+00       4.17e+06   2.74e-01
FV                   3.13e-02       7.30e-03       1.77e+01       2.10e+06   1.02e-01
PH                   0.00e+00       0.00e+00       0.00e+00       0.00e+00   0.00e+00
PHL                  0.00e+00       0.00e+00       0.00e+00       0.00e+00   0.00e+00
Qnet                 0.00e+00       0.00e+00       0.00e+00       0.00e+00   1.33e+02
Qsw                  0.00e+00       0.00e+00       0.00e+00       0.00e+00   0.00e+00
S                    0.00e+00       0.00e+00       0.00e+00       0.00e+00   3.00e+01
T                    0.00e+00       0.00e+00       0.00e+00       0.00e+00   1.62e+00
U                    0.00e+00       0.00e+00       0.00e+00       0.00e+00   5.47e-01
UICE                 3.82e-03       7.85e-04       2.25e+00       2.73e+06   7.01e-01
UWIND                0.00e+00       0.00e+00       0.00e+00       0.00e+00   1.00e+01
V                    0.00e+00       0.00e+00       0.00e+00       0.00e+00   2.28e-01
VICE                 2.55e-02       6.04e-03       1.26e+01       2.19e+06   2.11e-01
VWIND                0.00e+00       0.00e+00       0.00e+00       0.00e+00   0.00e+00
W                    0.00e+00       0.00e+00       0.00e+00       0.00e+00   2.44e-04
ice_Qice1            1.60e-07       1.78e-07       1.60e-07       1.60e-07   3.27e+05
ice_Qice2            1.72e-07       1.38e-07       1.38e-07       1.72e-07   3.38e+05
ice_Tice1            0.00e+00       0.00e+00       0.00e+00       0.00e+00   0.00e+00
ice_Tice2            0.00e+00       0.00e+00       0.00e+00       0.00e+00   0.00e+00
ice_Tsrf             0.00e+00       0.00e+00       0.00e+00       0.00e+00   0.00e+00
ice_flxAtm           0.00e+00       0.00e+00       0.00e+00       0.00e+00   0.00e+00
ice_fract            1.00e-03       2.34e-04       4.58e+00       1.38e+06   1.00e+00
ice_frwAtm           0.00e+00       0.00e+00       0.00e+00       0.00e+00   0.00e+00
ice_iceH             2.90e-04       6.30e-05       1.77e+00       4.13e+05   3.83e-01
ice_snowAge          0.00e+00       0.00e+00       0.00e+00       0.00e+00   0.00e+00
ice_snowH            0.00e+00       0.00e+00       0.00e+00       0.00e+00   0.00e+00
