# time_s  photon_number  photon_energy_J  electron_beam_energy_J  field_energy_J
0.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
9.99999999999999980e-13  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
1.99999999999999996e-12  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
3.00000000000000014e-12  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
3.99999999999999992e-12  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
4.99999999999999970e-12  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
6.00000000000000028e-12  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
7.00000000000000006e-12  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
7.99999999999999984e-12  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
8.99999999999999962e-12  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
9.99999999999999939e-12  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
1.09999999999999992e-11  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
1.20000000000000006e-11  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
1.30000000000000003e-11  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
1.40000000000000001e-11  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
1.49999999999999999e-11  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
1.59999999999999997e-11  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
1.69999999999999995e-11  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
1.79999999999999992e-11  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
1.89999999999999990e-11  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
1.99999999999999988e-11  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
