# time_s  electron_energy_J  proton_energy_J  field_energy_J  total_energy_J  electron_energy_ratio  proton_energy_ratio  electron_temperature_eV  proton_temperature_eV
0.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
1.54767068890038568e-13  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
3.09534137780077136e-13  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
4.64301206670115703e-13  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
6.19068275560154271e-13  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
7.73835344450192940e-13  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
9.28602413340231407e-13  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
1.08336948223026997e-12  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
1.23813655112030854e-12  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
1.39290362001034711e-12  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
1.54767068890038588e-12  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
1.70243775779042445e-12  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
1.85720482668046281e-12  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
2.01197189557050138e-12  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
2.16673896446053995e-12  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
2.32150603335057852e-12  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
2.47627310224061708e-12  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
2.63104017113065565e-12  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
2.78580724002069422e-12  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
2.94057430891073279e-12  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
3.00000000000000014e-12  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
