# time_s  electron_energy_J  field_energy_J  total_energy_J  temperature_x_eV  temperature_y_eV  temperature_z_eV  anisotropy  anisotropy_relaxed_fraction
0.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
2.34495558924300883e-15  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
4.68991117848601766e-15  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
7.03486676772902610e-15  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
9.37982235697203532e-15  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
1.17247779462150445e-14  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
1.40697335354580522e-14  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
1.64146891247010598e-14  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
1.87596447139440706e-14  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
2.11046003031870783e-14  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
2.34495558924300891e-14  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
2.57945114816730967e-14  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
2.81394670709161044e-14  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
3.04844226601591120e-14  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
3.28293782494021197e-14  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
3.51743338386451336e-14  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
3.75192894278881413e-14  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
3.98642450171311489e-14  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
4.22092006063741566e-14  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
4.45541561956171642e-14  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
4.68991117848601782e-14  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
5.00000000000000015e-14  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
