# time_s  photon_number  photon_energy_J  electron_energy_J  field_energy_J  laser_energy_injected_J
0.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
2.00000000000000016e-15  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
4.00000000000000031e-15  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
6.00000000000000047e-15  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
8.00000000000000062e-15  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
1.00000000000000016e-14  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
1.20000000000000009e-14  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
1.40000000000000003e-14  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
1.60000000000000012e-14  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
1.80000000000000022e-14  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
2.00000000000000031e-14  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
2.20000000000000009e-14  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
2.40000000000000019e-14  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
2.60000000000000028e-14  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
2.80000000000000006e-14  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
3.00000000000000047e-14  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
3.20000000000000025e-14  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
3.40000000000000003e-14  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
3.60000000000000044e-14  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
3.80000000000000022e-14  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
4.00000000000000063e-14  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
