# time_s  photon_number  photon_energy_J  electron_energy_J  field_energy_J  laser_energy_injected_J
0.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
2.99999999999999984e-15  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
5.99999999999999968e-15  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
8.99999999999999952e-15  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
1.19999999999999994e-14  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
1.49999999999999992e-14  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
1.79999999999999990e-14  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
2.09999999999999989e-14  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
2.39999999999999987e-14  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
2.69999999999999985e-14  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
2.99999999999999984e-14  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00
