# time_s  photon_number  photon_energy_J  electron_beam_energy_J  field_energy_J
0.00000000000000000e+00  1.00000000000000000e+02  2.00000000000000000e+02  3.00000000000000000e+02  4.00000000000000000e+02
1.00000000000000000e-12  1.00000000000000000e+02  2.00000000000000000e+02  3.00000000000000000e+02  4.00000000000000000e+02
2.00000000000000000e-12  1.00000000000000000e+02  2.00000000000000000e+02  3.00000000000000000e+02  4.00000000000000000e+02
3.00000000000000000e-12  1.00000000000000000e+02  2.00000000000000000e+02  3.00000000000000000e+02  4.00000000000000000e+02
4.00000000000000000e-12  1.00000000000000000e+02  2.00000000000000000e+02  3.00000000000000000e+02  4.00000000000000000e+02
5.00000000000000000e-12  1.00000000000000000e+02  2.00000000000000000e+02  3.00000000000000000e+02  4.00000000000000000e+02
6.00000000000000000e-12  1.00000000000000000e+02  2.00000000000000000e+02  3.00000000000000000e+02  4.00000000000000000e+02
7.00000000000000000e-12  1.00000000000000000e+02  2.00000000000000000e+02  3.00000000000000000e+02  4.00000000000000000e+02
8.00000000000000000e-12  1.00000000000000000e+02  2.00000000000000000e+02  3.00000000000000000e+02  4.00000000000000000e+02
9.00000000000000000e-12  1.00000000000000000e+02  2.00000000000000000e+02  3.00000000000000000e+02  4.00000000000000000e+02
1.00000000000000000e-11  1.00000000000000000e+02  2.00000000000000000e+02  3.00000000000000000e+02  4.00000000000000000e+02
1.10000000000000000e-11  1.00000000000000000e+02  2.00000000000000000e+02  3.00000000000000000e+02  4.00000000000000000e+02
1.20000000000000000e-11  1.00000000000000000e+02  2.00000000000000000e+02  3.00000000000000000e+02  4.00000000000000000e+02
1.30000000000000000e-11  1.00000000000000000e+02  2.00000000000000000e+02  3.00000000000000000e+02  4.00000000000000000e+02
1.40000000000000000e-11  1.00000000000000000e+02  2.00000000000000000e+02  3.00000000000000000e+02  4.00000000000000000e+02
1.50000000000000000e-11  1.00000000000000000e+02  2.00000000000000000e+02  3.00000000000000000e+02  4.00000000000000000e+02
1.60000000000000000e-11  1.00000000000000000e+02  2.00000000000000000e+02  3.00000000000000000e+02  4.00000000000000000e+02
1.70000000000000000e-11  1.00000000000000000e+02  2.00000000000000000e+02  3.00000000000000000e+02  4.00000000000000000e+02
1.80000000000000000e-11  1.00000000000000000e+02  2.00000000000000000e+02  3.00000000000000000e+02  4.00000000000000000e+02
1.90000000000000000e-11  1.00000000000000000e+02  2.00000000000000000e+02  3.00000000000000000e+02  4.00000000000000000e+02
2.00000000000000000e-11  1.00000000000000000e+02  2.00000000000000000e+02  3.00000000000000000e+02  4.00000000000000000e+02
